    beta         energy       spec-heat           abs-magnet          suscept
  0.4790      -0.837437        0.253924             0.876096         0.831518
  0.5395      -0.917270        0.133420             0.947803         0.159972
  0.4672      -0.810663        0.272098             0.844718         1.380976
  0.4930      -0.862463        0.197448             0.901555         0.487209
  0.5111      -0.887798        0.161917             0.924626         0.272838
  0.4461      -0.738713        0.451566             0.698807        17.941905
  0.4360      -0.683318        0.567270             0.459853        68.240334
  0.4563      -0.780039        0.334872             0.798661         3.021095
  0.4258      -0.635040        0.352820             0.233461        44.823720
  0.4031      -0.562493        0.224714             0.104936        10.822668
  0.3424      -0.424960        0.110521             0.046393         1.589350
  0.4150      -0.597692        0.293872             0.160994        23.169607
  0.3891      -0.524778        0.193904             0.077221         5.581676
  0.0000      -0.004883        0.000000             0.010254         0.000000
  0.3709      -0.483228        0.150141             0.062280         3.261700
  0.4792      -0.837197        0.212748             0.876214         0.722870
  0.4674      -0.811583        0.259012             0.844868         1.499368
  0.5401      -0.917682        0.125517             0.948226         0.155643
  0.4565      -0.780242        0.315906             0.797026         3.874352
  0.4932      -0.862832        0.195479             0.901856         0.491018
  0.4462      -0.741109        0.440312             0.711996        12.704757
  0.4362      -0.691415        0.512493             0.529928        52.006104
  0.5114      -0.888083        0.150413             0.924711         0.270308
  0.4260      -0.637057        0.410406             0.262017        49.812396
  0.4033      -0.562687        0.218966             0.107391        10.744381
  0.4152      -0.598630        0.275799             0.156353        20.376759
  0.3893      -0.526082        0.181930             0.080275         5.706034
  0.3430      -0.426631        0.108104             0.046527         1.775122
  0.2077      -0.223777        0.028300             0.020758         0.204749
  0.3713      -0.483753        0.148942             0.060586         3.040869
  0.4794      -0.837842        0.228325             0.876811         0.776164
  0.5407      -0.917816        0.128364             0.948299         0.148016
  0.4566      -0.780289        0.336492             0.799148         3.130342
  0.4935      -0.862893        0.195891             0.901767         0.478931
  0.5117      -0.888265        0.160541             0.924902         0.277462
  0.4464      -0.740792        0.539829             0.696391        27.651205
  0.4363      -0.688633        0.576667             0.495487        66.027004
  0.4261      -0.635536        0.370678             0.273270        44.450401
  0.4035      -0.563072        0.222394             0.107728        11.001453
  0.4154      -0.598524        0.285478             0.162239        22.889865
  0.3895      -0.525407        0.177094             0.079310         5.682571
  0.3436      -0.428000        0.116953             0.047670         1.814524
  0.4675      -0.810679        0.285314             0.844619         1.409354
  0.2229      -0.241975        0.032689             0.023861         0.300598
  0.3716      -0.484725        0.145757             0.064771         3.378528
  0.4796      -0.837490        0.229330             0.876519         0.733549
  0.5414      -0.917895        0.131344             0.948329         0.155285
  0.4568      -0.780693        0.323539             0.801664         2.601729
  0.5121      -0.888229        0.154900             0.924766         0.265370
  0.4937      -0.863522        0.187820             0.902185         0.475230
  0.4465      -0.740428        0.446819             0.706333        15.070933
  0.4365      -0.684473        0.534298             0.464006        71.761655
  0.4037      -0.562679        0.247107             0.114943        11.558004
  0.4263      -0.638773        0.365920             0.272320        45.045407
  0.3898      -0.526177        0.173112             0.080642         5.538044
  0.4155      -0.598138        0.281346             0.149356        19.203119
  0.3442      -0.428510        0.103760             0.046556         1.706311
  0.4677      -0.811095        0.285768             0.844890         1.565663
  0.2337      -0.256458        0.033792             0.023389         0.305878
