    beta         energy       spec-heat           abs-magnet          suscept
  0.5395      -0.917625        0.135794             0.948258         0.145151
  0.4258      -0.665844        0.421195             0.595453         5.871250
  0.4461      -0.743555        0.352906             0.744383         3.546761
  0.4360      -0.706523        0.399609             0.677227         4.878934
  0.5111      -0.886055        0.163512             0.923039         0.266366
  0.4563      -0.781242        0.313914             0.805984         1.940899
  0.4672      -0.805633        0.280449             0.839664         1.410148
  0.4930      -0.862453        0.193824             0.902492         0.408503
  0.3424      -0.425539        0.122361             0.184688         1.610070
  0.3891      -0.531031        0.210777             0.320023         4.204099
  0.3709      -0.481031        0.157665             0.244797         2.749991
  0.4150      -0.619891        0.349630             0.506914         6.080020
  0.0000      -0.015625        0.000000             0.031250         0.000000
  0.4031      -0.575836        0.285685             0.411062         5.761946
  0.4790      -0.831305        0.260248             0.867461         0.925778
  0.5401      -0.915070        0.124200             0.946313         0.148801
  0.4260      -0.668453        0.362800             0.602563         5.442599
  0.5114      -0.889625        0.164052             0.926250         0.312093
  0.4462      -0.748016        0.372301             0.752789         3.285919
  0.4674      -0.811461        0.280922             0.843516         1.442175
  0.4362      -0.710008        0.374980             0.680609         4.642124
  0.4565      -0.780625        0.308949             0.803727         1.895980
  0.4932      -0.862781        0.200026             0.903141         0.450479
  0.3430      -0.425344        0.110760             0.189391         1.530901
  0.3893      -0.537102        0.214903             0.333281         4.302842
  0.3713      -0.486406        0.164615             0.253234         3.029653
  0.4152      -0.615406        0.330591             0.487094         6.248354
  0.4033      -0.576547        0.292010             0.411305         5.479586
  0.2077      -0.220781        0.026395             0.088547         0.218319
  0.4792      -0.837195        0.255240             0.873500         0.947493
  0.5407      -0.915422        0.134878             0.946414         0.161127
  0.5117      -0.889195        0.161346             0.926508         0.254178
  0.4464      -0.747133        0.392582             0.747281         3.481311
  0.4675      -0.812102        0.274074             0.846727         1.447296
  0.4566      -0.779516        0.302335             0.798312         2.315221
  0.4363      -0.707234        0.383703             0.680570         4.785280
  0.4261      -0.669281        0.402048             0.606625         5.731971
  0.4935      -0.865094        0.180002             0.903492         0.437565
  0.3716      -0.487898        0.166062             0.256148         2.815194
  0.3895      -0.531062        0.215789             0.311758         4.475148
  0.3436      -0.431328        0.110579             0.187367         1.599835
  0.4154      -0.629687        0.349283             0.515711         6.275757
  0.4035      -0.575508        0.275912             0.409383         5.255815
  0.2229      -0.242078        0.028487             0.090086         0.264454
  0.4794      -0.839508        0.213000             0.877336         0.768002
  0.5414      -0.919656        0.120683             0.949953         0.133675
  0.5121      -0.885430        0.174929             0.921055         0.379142
  0.4465      -0.753641        0.366078             0.757617         3.267804
  0.4937      -0.860281        0.203905             0.898555         0.565963
  0.4677      -0.811969        0.272490             0.844172         1.370394
  0.4365      -0.708164        0.408532             0.676305         4.982011
  0.4568      -0.783422        0.319585             0.805383         2.276555
  0.4263      -0.670797        0.399548             0.600773         6.181986
  0.3898      -0.535742        0.226183             0.330641         4.413238
  0.4155      -0.622727        0.353562             0.512711         5.985801
  0.3719      -0.487586        0.158493             0.258750         2.958215
  0.3442      -0.430812        0.124816             0.187320         1.629435
  0.4037      -0.576984        0.279677             0.410789         5.530659
  0.2337      -0.256859        0.033265             0.098000         0.318602
  0.4796      -0.834313        0.239079             0.870422         1.016038
  0.5420      -0.917984        0.129091             0.948313         0.159783
  0.5124      -0.885469        0.173725             0.923844         0.272228
  0.4939      -0.861016        0.210663             0.901180         0.520693
  0.4467      -0.749000        0.389228             0.752891         3.378809
  0.4679      -0.810992        0.267671             0.845430         1.282917
  0.4366      -0.713273        0.369936             0.687148         4.787623
  0.4570      -0.781563        0.315140             0.804078         2.102968
  0.4264      -0.671961        0.384343             0.606523         5.754049
  0.3900      -0.536664        0.200282             0.329805         4.371824
  0.4157      -0.620648        0.352334             0.493398         6.172190
  0.3722      -0.487344        0.159293             0.258664         2.995141
  0.3447      -0.429398        0.114557             0.188445         1.688821
  0.4039      -0.581227        0.311170             0.424789         5.555991
  0.2421      -0.268586        0.040642             0.099969         0.376538
  0.4798      -0.839336        0.235286             0.878859         0.864130
  0.5426      -0.919828        0.116019             0.950086         0.131311
  0.5127      -0.891609        0.145835             0.927094         0.245775
  0.4942      -0.864000        0.209147             0.902477         0.481278
  0.4468      -0.752227        0.352835             0.757453         3.225683
  0.4680      -0.812523        0.264451             0.849570         1.029903
  0.4571      -0.783094        0.323664             0.804211         2.196887
  0.4368      -0.711039        0.345845             0.681195         4.655838
  0.4266      -0.675383        0.398998             0.615359         5.878695
  0.3902      -0.536078        0.209514             0.334734         4.256187
  0.4159      -0.623953        0.347059             0.512625         5.957625
  0.3725      -0.490914        0.165371             0.259180         2.913153
  0.3453      -0.433883        0.101611             0.185844         1.664078
  0.4040      -0.581930        0.307622             0.424797         5.838326
  0.2490      -0.276578        0.041534             0.106164         0.379474
  0.4800      -0.838227        0.230841             0.875164         0.940027
  0.5433      -0.921961        0.113414             0.951445         0.122233
  0.5131      -0.890500        0.156837             0.927820         0.222731
  0.4944      -0.864758        0.196399             0.902773         0.523652
  0.4682      -0.812906        0.237407             0.848586         1.184530
  0.4470      -0.749852        0.364325             0.755641         3.208823
  0.4573      -0.789453        0.291631             0.809984         2.293872
  0.4369      -0.713594        0.384154             0.690047         4.337468
  0.4268      -0.669305        0.394216             0.601789         5.663347
  0.3905      -0.538344        0.228161             0.337375         4.604142
  0.4160      -0.619812        0.343469             0.511781         5.614172
  0.3728      -0.485703        0.166139             0.261664         2.860961
  0.3459      -0.433906        0.109362             0.188922         1.551338
  0.4042      -0.583469        0.292590             0.420328         5.537901
  0.2548      -0.284609        0.043508             0.105125         0.391017
  0.4802      -0.839516        0.239984             0.875258         0.860565
  0.5439      -0.919063        0.120443             0.949766         0.131062
  0.5134      -0.891805        0.156436             0.927742         0.273315
  0.4947      -0.863102        0.194865             0.901992         0.506305
  0.4684      -0.812937        0.253671             0.845797         1.351091
  0.4471      -0.749695        0.348644             0.754953         3.343170
  0.4371      -0.714375        0.390507             0.691359         4.738641
  0.4574      -0.780734        0.314551             0.798641         2.470507
  0.3907      -0.534484        0.222165             0.328164         4.201980
  0.4269      -0.671883        0.408448             0.602250         5.955579
  0.3731      -0.488031        0.170508             0.260430         2.968304
  0.4162      -0.625484        0.370335             0.512062         6.172678
  0.4044      -0.581883        0.296452             0.417281         5.737302
  0.3464      -0.432914        0.112420             0.186250         1.633103
  0.2599      -0.291219        0.045930             0.109203         0.433236
  0.4804      -0.841477        0.213764             0.880180         0.768131
  0.5446      -0.919992        0.123164             0.949578         0.146273
  0.5137      -0.889508        0.173555             0.925633         0.304422
  0.4685      -0.811063        0.260866             0.844187         1.262747
  0.4949      -0.864906        0.197382             0.903984         0.410614
  0.4473      -0.753008        0.355705             0.757883         3.325023
  0.4576      -0.781297        0.312620             0.801719         2.284752
  0.4372      -0.707742        0.394242             0.678797         4.744214
  0.4271      -0.672367        0.393505             0.609750         5.554888
  0.3909      -0.535852        0.207297             0.336141         4.168319
  0.3735      -0.491812        0.166489             0.256008         3.044043
  0.4164      -0.626109        0.346075             0.517680         5.902408
  0.4046      -0.581250        0.316689             0.416070         5.917928
  0.3469      -0.433188        0.116972             0.198797         1.722589
  0.2643      -0.297070        0.050629             0.111141         0.482528
  0.4806      -0.839914        0.208244             0.878328         0.729591
  0.5453      -0.922383        0.120914             0.951688         0.157767
  0.5141      -0.888859        0.163637             0.925250         0.286484
  0.4687      -0.810781        0.262649             0.843883         1.602182
  0.4474      -0.748203        0.365522             0.749516         3.448861
  0.4952      -0.866781        0.185944             0.906398         0.368335
  0.4577      -0.781461        0.315301             0.802594         2.364353
  0.4374      -0.710273        0.393310             0.684891         4.919738
  0.3911      -0.536922        0.212261             0.329469         4.239247
  0.3738      -0.492539        0.165330             0.251102         2.981848
  0.4272      -0.672555        0.363143             0.613398         5.364819
  0.4165      -0.626094        0.349180             0.522422         5.863464
  0.4048      -0.583555        0.282957             0.414383         5.805601
  0.3475      -0.432406        0.119418             0.197187         1.747578
  0.2683      -0.304430        0.055696             0.108719         0.492469
  0.4808      -0.840164        0.224281             0.879734         0.771762
  0.5460      -0.925172        0.118391             0.953516         0.155332
  0.5144      -0.892234        0.168140             0.928492         0.257552
  0.4689      -0.816516        0.255862             0.849164         1.350459
  0.4476      -0.754125        0.363124             0.754352         3.527148
  0.4954      -0.865250        0.176758             0.904492         0.474961
  0.4579      -0.783875        0.312884             0.809078         2.105651
  0.4375      -0.716344        0.384355             0.694133         4.534770
  0.3914      -0.535672        0.208109             0.331727         4.133597
  0.4274      -0.670687        0.356811             0.600859         5.656330
  0.3741      -0.493391        0.177122             0.263031         3.065020
  0.4167      -0.622188        0.352016             0.503258         6.367285
  0.4050      -0.580984        0.297214             0.424828         5.778288
  0.3480      -0.435617        0.110502             0.196906         1.711169
  0.4810      -0.842547        0.230435             0.881578         0.699633
  0.2719      -0.308070        0.052466             0.112344         0.489412
