    beta         energy       spec-heat           abs-magnet          suscept
  0.4357      -0.684405        0.188504             0.349525        40.077459
  0.4395      -0.701059        0.567598             0.576406        10.138639
  0.4405      -0.712929        0.561506             0.668517         8.929033
  0.4509      -0.753324        0.220904             0.732432         1.802412
  0.4439      -0.730862        0.361382             0.707451         3.820319
  0.4481      -0.755223        0.663206             0.744777         7.424907
  0.4339      -0.646457        0.083951             0.134405        14.032486
  0.4372      -0.686194        0.373173             0.403214         8.683742
  0.4450      -0.734916        0.217288             0.725603         3.131861
  0.4464      -0.741636        0.319920             0.736377         3.210958
  0.4310      -0.660884        0.544370             0.221731        10.518275
  0.4384      -0.690394        0.321795             0.378524        24.518582
  0.0000      -0.002922        0.000000             0.028853         0.000000
  0.4427      -0.734916        0.294266             0.727538         2.926902
  0.4416      -0.718152        0.303337             0.677611         2.122112
  0.4396      -0.687546        0.183417             0.488787         3.971927
  0.4360      -0.693864        0.484533             0.501278        28.055052
  0.4407      -0.733601        0.384822             0.719430         4.928052
  0.4517      -0.764755        0.618076             0.762454         1.902469
  0.4342      -0.693280        0.151389             0.594777         6.924282
  0.4440      -0.751753        0.052074             0.759350         0.379812
  0.4485      -0.744595        0.311008             0.705478         4.151627
  0.4373      -0.696457        0.406012             0.591052        10.229374
  0.4452      -0.730825        0.336606             0.688751        13.349099
  0.4466      -0.739262        0.497731             0.722900         4.296443
  0.4385      -0.717531        0.401269             0.700146         5.339996
  0.4428      -0.722717        0.309028             0.702118         4.703800
  0.4316      -0.664244        0.164411             0.464865         7.449509
  0.4238      -0.637436        0.213568             0.438934         8.627729
  0.4417      -0.671037        0.762426             0.138824         5.968223
  0.4398      -0.717823        0.225863             0.680497         3.475499
  0.4362      -0.697370        0.561606             0.562235        17.397773
  0.4408      -0.721731        0.253673             0.685537         5.399308
  0.4525      -0.744704        0.467111             0.662162        18.067938
  0.4442      -0.746969        0.301413             0.753506         2.547170
  0.4345      -0.687655        0.846919             0.544266        23.684538
  0.4375      -0.684076        0.387409             0.492001        17.556516
  0.4489      -0.761066        0.450301             0.777100         5.161200
  0.4454      -0.747991        0.548647             0.741782         2.645411
  0.4387      -0.709386        0.478909             0.639701        13.604944
  0.4469      -0.738897        0.282694             0.710701         4.414707
  0.4419      -0.720197        0.558298             0.713294         6.066952
  0.4430      -0.736523        0.273176             0.730351         1.063197
  0.4263      -0.632031        0.386223             0.065595         4.827844
  0.4320      -0.657487        0.096501             0.154858        33.840924
  0.4399      -0.709058        0.194665             0.576625         1.592267
  0.4364      -0.700000        0.327254             0.607816         8.050804
  0.4410      -0.676552        0.325526             0.106501        11.196293
  0.4444      -0.712491        0.860196             0.594485        22.494523
  0.4536      -0.761286        0.390009             0.764500         4.263285
  0.4348      -0.663623        0.483912             0.108218        11.037802
  0.4456      -0.737071        0.243727             0.730424         4.519895
  0.4377      -0.685208        0.142502             0.449890        12.448215
  0.4389      -0.724470        0.501459             0.710117         6.726617
  0.4493      -0.757085        0.382664             0.765413         1.786219
  0.4420      -0.739372        0.348856             0.734003         2.353938
  0.4472      -0.747736        0.256977             0.743645         4.307842
  0.4432      -0.696275        0.219662             0.357414         9.238974
  0.4325      -0.674690        0.362664             0.543828         5.637374
  0.4278      -0.664207        0.387130             0.481556         8.673338
  0.4366      -0.710263        0.199805             0.658145         8.536230
  0.4401      -0.715595        0.206992             0.712381         1.974032
  0.4411      -0.727502        0.651465             0.685646        15.065452
  0.4446      -0.735062        0.470587             0.728561         3.232960
  0.4350      -0.671037        0.301869             0.094083         3.543065
  0.4551      -0.770307        0.576569             0.766874         4.235947
  0.4459      -0.739554        0.441666             0.717495         2.393994
  0.4379      -0.693097        0.851001             0.596896        25.610547
  0.4498      -0.758291        0.060620             0.765413         1.386248
  0.4422      -0.698101        0.384144             0.520636        24.766394
  0.4390      -0.713550        0.431299             0.641198         5.636667
  0.4433      -0.728780        0.366270             0.684222        21.540832
  0.4329      -0.665778        0.352634             0.376735        22.307358
  0.4475      -0.761651        0.506524             0.767896         8.671186
  0.4289      -0.652082        0.113752             0.301717        24.398955
  0.4368      -0.687728        0.209243             0.520307         8.819221
  0.4402      -0.716691        0.305163             0.646384        12.603253
  0.4413      -0.699598        0.268093             0.561797         4.930751
  0.4448      -0.743462        0.338723             0.744047         2.080035
  1.0000      -0.998795        0.006501             0.999379         0.001794
  0.4353      -0.678707        0.161271             0.456026        15.982316
  0.4461      -0.731812        0.181102             0.682944         4.222085
  0.4380      -0.668481        0.115616             0.282104        28.487520
  0.4424      -0.713294        0.562511             0.640942         8.600378
  0.4503      -0.757414        0.339893             0.774470         2.683476
  0.4392      -0.686523        0.613315             0.443718        14.721422
  0.4435      -0.731373        0.427857             0.715814         3.358751
  0.4478      -0.743718        0.396055             0.730935         3.234013
  0.4332      -0.657195        0.583562             0.123265        17.638853
  0.4297      -0.644120        0.057287             0.260957        11.406506
  0.4370      -0.656063        0.233759             0.254967         7.776894
  0.4404      -0.690906        0.267499             0.526625         4.177724
  0.4414      -0.715741        0.298162             0.602557         8.803375
  0.4355      -0.680424        0.318213             0.385062         6.165253
  0.4382      -0.690212        0.522467             0.477392        40.834202
  0.4425      -0.707268        0.247532             0.568992        13.276601
  0.4393      -0.660336        0.226576             0.270709        14.327798
  0.4437      -0.704237        0.319246             0.466691        13.798844
  0.4304      -0.633857        0.185109             0.166034        34.018636
  0.4336      -0.658729        0.444350             0.395617        62.868453
