    beta         energy       spec-heat           abs-magnet          suscept
  0.4416      -0.727028        0.730555             0.696636         9.813532
  0.4310      -0.649309        0.166347             0.143433        48.539871
  0.4357      -0.672616        0.371915             0.266125        25.507540
  0.4439      -0.737365        0.395625             0.716108         9.287294
  0.4395      -0.702598        0.462686             0.595148        25.594401
  0.4509      -0.762086        0.155549             0.751907         0.582201
  0.4384      -0.684381        0.248025             0.318170        17.398926
  0.4427      -0.731483        0.333963             0.696979         6.616272
  0.4450      -0.738687        0.079035             0.720259         4.112323
  0.4464      -0.725877        0.221664             0.606636         5.218566
  0.4405      -0.700681        0.442736             0.550426         8.386418
  0.4339      -0.668293        0.203964             0.265887        12.481031
  0.4481      -0.743235        0.217576             0.695723         9.715668
  0.0000       0.002974        0.000000             0.011832         0.000000
  0.4372      -0.689140        0.164112             0.510318        13.194863
  0.4417      -0.705228        0.359861             0.550638         6.067512
  0.4360      -0.681446        0.139113             0.445224        34.463714
  0.4316      -0.658642        0.501433             0.212017         5.938237
  0.4452      -0.741225        0.648043             0.734867         6.979626
  0.4440      -0.737881        0.359857             0.722308         8.085512
  0.4396      -0.691097        0.520934             0.454095        26.436651
  0.4428      -0.727054        0.397616             0.674017         3.984500
  0.4517      -0.765788        0.477456             0.783462         1.483136
  0.4342      -0.668517        0.437201             0.150373        35.551211
  0.4407      -0.692564        0.122036             0.111825        14.074848
  0.4466      -0.713451        0.330383             0.184996        24.401196
  0.4385      -0.687091        0.312713             0.382682        17.559412
  0.4485      -0.747016        0.536152             0.734113         5.329754
  0.4373      -0.693648        0.645911             0.554643        16.476411
  0.4238      -0.619618        0.153665             0.120457        28.613848
  0.4442      -0.732950        0.238657             0.690224         2.539608
  0.4320      -0.650169        0.436775             0.034279         6.794878
  0.4525      -0.763474        0.415226             0.771512         4.409528
  0.4362      -0.686880        0.424779             0.528574         9.506487
  0.4419      -0.716095        0.279632             0.645621         5.205831
  0.4398      -0.685571        0.138059             0.214290         7.586591
  0.4454      -0.747849        0.310247             0.762747         4.571236
  0.4430      -0.713451        0.238743             0.630656         3.800207
  0.4345      -0.660387        0.334288             0.282345         6.918868
  0.4408      -0.709710        0.365874             0.636605         5.352795
  0.4375      -0.672721        0.443212             0.233750         9.658893
  0.4489      -0.743235        0.043084             0.710701         1.502520
  0.4469      -0.741873        0.473594             0.717549         6.723860
  0.4387      -0.691771        0.560295             0.207892        13.859945
  0.4263      -0.635296        0.353653             0.107304        23.651979
  0.4444      -0.728825        0.564851             0.678776        13.672843
  0.4325      -0.663824        0.684381             0.251847        10.789880
  0.4364      -0.680693        0.149341             0.312420        34.899785
  0.4536      -0.731086        0.691510             0.318408         7.307841
  0.4420      -0.718382        0.405657             0.664433         3.035472
  0.4456      -0.723247        0.394463             0.583912        16.492861
  0.4348      -0.661154        0.471620             0.236724         7.579139
  0.4432      -0.729288        0.244548             0.661670         6.423350
  0.4377      -0.688294        0.334708             0.430141         3.189685
  0.4399      -0.695671        0.210434             0.455337         4.972025
  0.4410      -0.691731        0.227036             0.260202        16.659518
  0.4472      -0.720907        0.342315             0.318316         6.789335
  0.4493      -0.746434        0.467560             0.738277         3.676200
  0.4278      -0.639606        0.236665             0.130610        22.105513
  0.4389      -0.688149        0.451867             0.480085         5.782152
  0.4446      -0.735316        0.290762             0.692128         4.996420
  0.4422      -0.730134        0.839516             0.719347         2.900833
  0.4366      -0.682742        0.302924             0.308718         4.850350
  0.4551      -0.773971        0.455142             0.780171         4.244833
  0.4350      -0.660123        0.232200             0.180475         4.768281
  0.4329      -0.658497        0.492629             0.073356        22.485220
  0.4459      -0.732183        0.701142             0.653421        11.053705
  0.4433      -0.736321        0.277037             0.722017         3.568386
  0.4411      -0.716187        0.467685             0.629414        15.378962
  0.4379      -0.700813        0.234146             0.624099         4.543981
  0.4401      -0.705797        0.407437             0.640095         2.113984
  0.4498      -0.754551        0.524621             0.755886         5.813732
  0.4475      -0.746130        0.426284             0.733122         3.777265
  0.4390      -0.690885        0.592189             0.513173        49.048264
  0.4289      -0.648106        0.395201             0.251900         9.837279
  0.4448      -0.729843        0.375531             0.688016         9.230559
  0.4424      -0.709075        0.155281             0.444206        22.589967
  0.4368      -0.699888        0.814144             0.613444        32.835919
  0.4353      -0.690925        0.288455             0.490793         7.384439
  1.0000      -0.998704        0.006921             0.999352         0.001730
  0.4332      -0.661181        0.215984             0.055205         7.149853
  0.4461      -0.736797        0.390155             0.700601         4.876966
  0.4380      -0.689550        0.485912             0.359429        16.442455
  0.4435      -0.728852        0.218522             0.667486         7.856015
  0.4413      -0.719400        0.347134             0.678630         7.157247
  0.4402      -0.713200        0.378007             0.630656         4.798380
  0.4503      -0.760460        0.174789             0.774275         1.251735
  0.4478      -0.748536        0.585651             0.708533        15.924896
  0.4392      -0.705876        0.386501             0.592980        12.426247
  0.4297      -0.660771        0.305324             0.166660         9.439227
  0.4425      -0.700985        0.557555             0.513967         6.226838
  0.4370      -0.696979        0.364630             0.571432        27.869233
  0.4355      -0.666019        0.268971             0.075590        10.028198
  0.4336      -0.659515        0.268659             0.195466        10.639089
  0.4404      -0.707211        0.231551             0.569516         8.094972
  0.4437      -0.729605        0.483652             0.709353         3.895581
  0.4382      -0.704541        0.657151             0.610245        16.156869
  0.4414      -0.716135        0.231618             0.621112         8.749986
  0.4304      -0.634662        0.119151             0.058814        11.488215
  0.4393      -0.684526        0.252224             0.489642         4.992292
