    beta         energy       spec-heat           abs-magnet          suscept
  0.4450      -0.741632        0.722740             0.725446         7.205851
  0.4384      -0.655967        0.201641             0.142661         5.995003
  0.4357      -0.704938        0.527759             0.656996         9.701841
  0.4439      -0.710974        0.436369             0.606722        13.891852
  0.4405      -0.724897        0.229033             0.720508         2.692406
  0.4509      -0.753086        0.285271             0.765089         1.940598
  0.4464      -0.703635        0.175910             0.548628        15.969990
  0.4427      -0.672634        0.255136             0.358642        23.079928
  0.4310      -0.676543        0.214886             0.581070         2.475688
  0.4395      -0.700549        0.595422             0.614129         7.073754
  0.0000      -0.016461        0.000000             0.013032         0.000000
  0.4339      -0.701509        0.529706             0.634225         7.949781
  0.4416      -0.693210        0.242588             0.512551        25.353870
  0.4481      -0.742181        0.136541             0.748834         1.433228
  0.4372      -0.638820        0.528843             0.168656        10.605673
  0.4452      -0.739369        0.135825             0.695062         3.992704
  0.4396      -0.698491        0.419440             0.534019        54.278261
  0.4466      -0.744513        0.354073             0.762826         2.647808
  0.4517      -0.751372        0.143226             0.753704         2.286783
  0.4440      -0.737311        0.398605             0.746433         2.824896
  0.4407      -0.669067        0.304302             0.359534         7.611946
  0.4342      -0.652538        0.366960             0.382647         6.046468
  0.4360      -0.685734        0.286997             0.533402         4.506779
  0.4485      -0.759465        0.432225             0.777503         3.452793
  0.4316      -0.671742        0.481527             0.543759        14.688634
  0.4385      -0.678121        0.174347             0.336283         9.181343
  0.4238      -0.644993        0.307992             0.378875        16.049489
  0.4417      -0.702881        0.881474             0.654184        17.766590
  0.4373      -0.722016        0.265574             0.719616         1.136076
  0.4428      -0.736420        0.302548             0.728121         3.791940
  0.4454      -0.742181        0.674181             0.724348        12.464512
  0.4398      -0.694993        0.480743             0.602812         7.246949
  0.4345      -0.703704        0.261604             0.651715         4.993963
  0.4442      -0.737037        0.274490             0.722085         4.934807
  0.4469      -0.718724        0.738588             0.607750        10.232468
  0.4362      -0.690055        0.297929             0.579081        13.194708
  0.4525      -0.767833        0.313803             0.788340         1.203425
  0.4408      -0.735048        0.348393             0.721879         2.128224
  0.4489      -0.735048        0.237350             0.727846         2.304168
  0.4320      -0.648354        0.447477             0.277572        19.839843
  0.4387      -0.707956        0.121016             0.642798         7.114043
  0.4263      -0.637654        0.349238             0.295816         8.058827
  0.4419      -0.732716        0.236614             0.725377         1.491868
  0.4430      -0.735391        0.525480             0.705693         8.855264
  0.4375      -0.703292        0.270702             0.528464        20.629396
  0.4456      -0.747668        0.515332             0.750617         2.797500
  0.4399      -0.694787        0.198175             0.431207        22.515922
  0.4364      -0.707339        0.501761             0.672634         4.844626
  0.4348      -0.703772        0.471223             0.680178         5.542329
  0.4472      -0.755556        0.763531             0.748148        14.288453
  0.4410      -0.706310        0.828134             0.582442        17.477309
  0.4536      -0.771605        0.234764             0.794170         0.748116
  0.4493      -0.744102        0.343933             0.741838         5.258526
  0.4420      -0.718724        0.531179             0.678052        10.182176
  0.4444      -0.719547        0.205382             0.583951        13.521921
  0.4325      -0.654390        0.516244             0.410905         8.315074
  0.4389      -0.675446        0.166368             0.425995        11.885728
  0.4432      -0.732510        0.139733             0.704938        10.094576
  0.4278      -0.635322        0.267470             0.272702         8.189023
  0.4377      -0.711317        0.166286             0.644033         5.222696
  0.4459      -0.745199        0.321018             0.774348         2.077199
  0.4401      -0.713032        0.119860             0.686351         1.535380
  0.4350      -0.652812        0.080057             0.170165         3.801102
  0.4411      -0.732305        0.881567             0.738272         6.775011
  0.4366      -0.675652        0.440604             0.429218        28.058945
  0.4446      -0.727366        0.453861             0.704458         7.367909
  0.4475      -0.747257        0.288109             0.735597         2.307709
  0.4551      -0.756173        0.270616             0.717490         6.560990
  0.4422      -0.725926        0.357005             0.678189         3.538280
  0.4329      -0.674348        0.285702             0.402126         9.656955
  0.4498      -0.759191        0.115667             0.784636         0.558740
  0.4390      -0.692936        0.346868             0.518176        17.877980
  0.4379      -0.727023        0.162651             0.714472         3.285372
  0.4433      -0.732853        0.303419             0.732030         2.069722
  0.4289      -0.638546        0.167520             0.246914        41.557062
  0.4461      -0.744856        0.169500             0.706653         4.914212
  0.4353      -0.671262        0.294249             0.356379        27.899933
  0.4402      -0.673045        0.650758             0.381687         2.332801
  0.4413      -0.701920        0.508084             0.478601        22.437873
  0.4368      -0.708505        0.258840             0.662209         9.214289
  0.4448      -0.751509        0.251673             0.768038         1.199114
  0.4424      -0.715912        0.225705             0.582442         9.449138
  0.4332      -0.669684        0.306749             0.426543        27.370447
  1.0000      -0.998148        0.007331             0.999040         0.002195
  0.4478      -0.743621        0.304873             0.759671         2.005361
  0.4503      -0.744170        0.126857             0.766804         1.059368
  0.4392      -0.696982        0.495318             0.607888        33.545696
  0.4435      -0.712620        0.255969             0.645405         2.240722
  0.4297      -0.636831        0.200459             0.118450         8.091706
  0.4380      -0.700206        0.376702             0.637654         4.980982
  0.4355      -0.664883        0.292498             0.370302        10.353742
  0.4404      -0.730727        0.388485             0.720233         4.305532
  0.4414      -0.716324        0.172277             0.650686         9.844453
  0.4370      -0.703498        0.527333             0.649657         8.866095
  0.4425      -0.703635        0.347858             0.570850        21.354354
  0.4336      -0.683745        0.372690             0.553772         7.355270
  0.4393      -0.691838        0.104963             0.604733         5.917130
  0.4304      -0.674623        0.357839             0.572428        13.053218
  0.4382      -0.679012        0.679121             0.501166        44.255016
  0.4437      -0.739918        0.536029             0.741495         2.908566
