    beta         energy       spec-heat           abs-magnet          suscept
  0.4439      -0.724270        0.340860             0.682309         2.981619
  0.4464      -0.736189        0.370131             0.692067         8.014995
  0.4450      -0.741687        0.389094             0.745634         2.674894
  0.4339      -0.668557        0.164684             0.160749         6.831479
  0.4427      -0.710424        0.101832             0.559198         6.355902
  0.4384      -0.685817        0.209925             0.082559         3.184991
  0.4405      -0.677594        0.648321             0.152040         4.134934
  0.4481      -0.746777        0.344142             0.741609         3.365341
  0.4357      -0.670405        0.311654             0.412154        21.936845
  0.4416      -0.718772        0.456314             0.689059        15.818960
  0.4310      -0.650576        0.331518             0.070045        12.295987
  0.4395      -0.702733        0.280230             0.565604         7.586786
  0.4509      -0.753230        0.309638             0.738257         7.175549
  0.4372      -0.669904        0.486078             0.227661        23.147679
  0.0000      -0.004151        0.000000             0.024356         0.000000
  0.4440      -0.727606        0.376538             0.676811         3.952224
  0.4342      -0.666693        0.194581             0.177931        25.343767
  0.4452      -0.712679        0.610685             0.549628        35.703524
  0.4466      -0.736800        0.202035             0.710345         2.497015
  0.4360      -0.670311        0.103414             0.274195        82.146700
  0.4396      -0.699804        0.131279             0.420221        21.136006
  0.4428      -0.733401        0.300273             0.715733         1.766826
  0.4407      -0.713149        0.156906             0.436072         9.366567
  0.4485      -0.749518        0.441739             0.739369         3.388162
  0.4517      -0.768001        0.385759             0.778714         2.571482
  0.4316      -0.657655        0.161890             0.398277        10.257082
  0.4385      -0.691487        0.376348             0.129940        18.032462
  0.4417      -0.735735        0.294362             0.730754         3.202683
  0.4373      -0.693414        0.173436             0.550442         7.004110
  0.4238      -0.628303        0.548772             0.125100        35.172298
  0.4345      -0.667554        0.280903             0.382207        31.044663
  0.4442      -0.728718        0.347817             0.644357         8.870667
  0.4454      -0.743269        0.173641             0.720025         3.180189
  0.4469      -0.737348        0.239264             0.710032         1.595401
  0.4362      -0.668525        0.375409             0.017934         1.319056
  0.4408      -0.697079        0.369758             0.412374         4.720057
  0.4398      -0.703657        0.241232             0.584259         4.537470
  0.4320      -0.654194        0.307639             0.132117        18.625425
  0.4375      -0.678252        0.652741             0.061540        13.995968
  0.4430      -0.736549        0.490045             0.710518         5.832413
  0.4419      -0.716360        0.175755             0.660287         4.798460
  0.4387      -0.701558        0.219303             0.564289        16.428794
  0.4489      -0.742564        0.567060             0.709656        16.477065
  0.4525      -0.771995        0.439416             0.785246         2.298704
  0.4263      -0.636087        0.246789             0.267304        39.929374
  0.4348      -0.671987        0.406366             0.338210         6.639192
  0.4444      -0.718474        0.312821             0.603571         6.403254
  0.4456      -0.730754        0.549500             0.636871         8.685377
  0.4364      -0.689686        0.061213             0.471830         7.331808
  0.4399      -0.723158        0.143061             0.697815         2.674690
  0.4472      -0.740919        0.146096             0.728185         3.151997
  0.4410      -0.717973        0.323118             0.649088         2.480989
  0.4325      -0.669935        0.198926             0.293539         9.619232
  0.4420      -0.730347        0.363431             0.713791         3.660374
  0.4432      -0.724426        0.280468             0.643026        13.458037
  0.4377      -0.685034        0.223893             0.281385         2.737926
  0.4493      -0.750818        0.523126             0.742642         2.717088
  0.4536      -0.766513        0.139681             0.767891         1.669631
  0.4389      -0.685849        0.209231             0.236871         8.973786
  0.4278      -0.643825        0.599059             0.121247        36.724721
  0.4350      -0.663388        0.265637             0.033299         4.385695
  0.4446      -0.729047        0.441961             0.673334         5.448930
  0.4459      -0.741953        0.238120             0.729783         1.658348
  0.4366      -0.668369        0.240912             0.082685        21.107841
  0.4401      -0.713071        0.122103             0.649886         3.391474
  0.4475      -0.740058        0.304201             0.717801         5.908384
  0.4411      -0.724724        0.213690             0.697580         4.603066
  0.4329      -0.650607        0.341329             0.227896         5.449561
  0.4422      -0.717456        0.074643             0.593155         3.049666
  0.4433      -0.722954        0.158766             0.695732         1.109002
  0.4379      -0.690579        0.464228             0.501762        20.368091
  0.4551      -0.777492        0.149778             0.799060         1.641439
  0.4390      -0.700102        0.303097             0.600517         5.869954
  0.4498      -0.761814        0.262504             0.772840         3.744184
  0.4289      -0.651484        0.235494             0.128389        21.418404
  0.4353      -0.693727        0.099774             0.539196         9.280276
  0.4448      -0.718960        0.210665             0.588268         8.588263
  0.4368      -0.671094        0.431213             0.233111         5.524062
  0.4461      -0.737943        0.394483             0.728358         3.441985
  0.4402      -0.697423        0.228707             0.365542        13.429707
  0.4332      -0.654679        0.244432             0.122046        15.607529
  0.4478      -0.746057        0.241875             0.735688         1.982116
  0.4424      -0.725711        0.215458             0.666113         3.573438
  0.4413      -0.709171        0.130271             0.555502        20.589361
  0.4435      -0.727371        0.368407             0.685551         5.240601
  0.4380      -0.679395        0.406409             0.310142         4.869537
  1.0000      -0.976318        0.009593             0.077438         5.692011
  0.4392      -0.700854        0.179005             0.393766        17.650246
  0.4503      -0.747216        0.464877             0.701527        14.665618
  0.4297      -0.634380        0.235687             0.061242         5.403069
  0.4355      -0.689623        0.277951             0.499789         9.213170
  0.4370      -0.681761        0.489948             0.085473         4.362282
  0.4404      -0.699992        0.685034             0.568940        16.098732
  0.4336      -0.665941        0.423291             0.426423         3.363142
  0.4425      -0.723753        0.446497             0.687665         3.292091
  0.4437      -0.732039        0.133291             0.711457         1.248466
  0.4414      -0.708012        0.313342             0.589334         4.578696
  0.4382      -0.683436        0.591417             0.534905        38.493940
  0.4393      -0.686976        0.270438             0.515702        11.083701
  0.4304      -0.645595        0.191908             0.123722        63.184440
