    beta         energy       spec-heat           abs-magnet          suscept
  0.4357      -0.650000        0.128684             0.465432         8.190077
  0.4360      -0.715432        0.416322             0.664815         4.869096
  0.4310      -0.714815        0.190532             0.719136         2.786361
  0.4427      -0.787037        0.234539             0.817284         0.878313
  0.4509      -0.769753        0.166839             0.787037         1.721207
  0.4372      -0.722840        0.403938             0.723457         2.192123
  0.4405      -0.773457        0.239623             0.808025         0.672529
  0.4416      -0.689506        0.642541             0.630864         8.064669
  0.4464      -0.759259        0.156873             0.787654         0.863569
  0.4395      -0.730864        0.479118             0.782716         0.955882
  0.4450      -0.749383        0.167981             0.777160         1.404523
  0.0000      -0.043210        0.000000             0.043210         0.000000
  0.4481      -0.728395        0.225890             0.705556         3.661339
  0.4339      -0.691358        0.551125             0.667284         5.450200
  0.4384      -0.704321        0.592296             0.690741         7.289876
  0.4439      -0.725309        0.580623             0.719753         4.841877
  0.4428      -0.727778        0.859455             0.666049         6.945053
  0.4362      -0.661111        0.224141             0.517284        11.517203
  0.4316      -0.691358        0.460395             0.559877        10.139896
  0.4466      -0.743827        0.464735             0.681481        10.145582
  0.4396      -0.686420        0.740124             0.597531        13.607243
  0.4452      -0.746296        0.296063             0.760494         2.705195
  0.4342      -0.653086        0.603509             0.612346         6.044052
  0.4407      -0.763580        0.294664             0.770988         2.529808
  0.4373      -0.679012        0.470681             0.525926        15.026387
  0.4417      -0.750617        0.454621             0.762346         2.428973
  0.4517      -0.773457        0.478535             0.804321         1.658000
  0.4469      -0.736420        0.346844             0.800617         0.961265
  0.4398      -0.785802        0.408072             0.837654         1.053371
  0.4485      -0.713580        0.464769             0.687037         2.681202
  0.4238      -0.654321        0.323749             0.548148        10.499078
  0.4320      -0.687654        0.422596             0.619753         4.068245
  0.4430      -0.724074        0.319306             0.672840         3.615733
  0.4364      -0.668519        0.495283             0.540123        11.340061
  0.4440      -0.733333        0.414785             0.741975         3.035531
  0.4454      -0.745062        0.396827             0.789506         1.543942
  0.4385      -0.670988        0.349301             0.470370        12.334047
  0.4419      -0.670988        0.317710             0.459259         8.826014
  0.4525      -0.708025        0.310133             0.558642        14.299556
  0.4472      -0.765432        0.737857             0.766049         7.396969
  0.4345      -0.611111        0.196289             0.429630         5.688507
  0.4408      -0.716049        0.304968             0.684568         4.736664
  0.4375      -0.724074        0.428557             0.738272         2.646945
  0.4432      -0.772222        0.329459             0.798765         1.416681
  0.4263      -0.636420        0.505716             0.412346        14.282508
  0.4325      -0.664815        0.367947             0.590123         5.337129
  0.4489      -0.704321        0.427583             0.623457        10.513583
  0.4399      -0.718519        0.445070             0.737654         2.167996
  0.4366      -0.716049        0.625919             0.714198         4.196948
  0.4456      -0.780864        0.177212             0.814198         0.979863
  0.4442      -0.709259        0.196763             0.672222         3.192354
  0.4348      -0.742593        0.412280             0.750000         2.091193
  0.4420      -0.740741        0.195675             0.735802         1.256171
  0.4387      -0.748148        0.277619             0.766049         1.201688
  0.4536      -0.801235        0.293420             0.861111         0.490625
  0.4410      -0.756790        0.171901             0.771605         1.056190
  0.4401      -0.724691        0.117003             0.738889         1.005800
  0.4475      -0.753086        0.519117             0.711728         5.319389
  0.4377      -0.687037        0.182929             0.622840         3.849117
  0.4329      -0.712346        0.290044             0.680247         6.071907
  0.4493      -0.717284        0.302868             0.708642         2.140984
  0.4433      -0.774074        0.298299             0.805556         1.583910
  0.4368      -0.720988        0.574564             0.719753         2.842564
  0.4444      -0.784568        0.191511             0.854938         0.258781
  0.4459      -0.766049        0.383122             0.792593         1.760488
  0.4350      -0.716667        0.256706             0.738272         1.484905
  0.4278      -0.633333        0.607048             0.467901         9.287496
  0.4478      -0.765432        0.333919             0.783333         2.436683
  0.4379      -0.722840        0.337929             0.741358         1.904568
  0.4551      -0.813580        0.225471             0.830864         1.447336
  0.4446      -0.738889        0.306970             0.766049         0.925121
  0.4370      -0.718519        0.807339             0.618519        12.297138
  0.4332      -0.674074        0.575094             0.607407         7.067611
  0.4435      -0.670370        0.146350             0.578395         3.696563
  0.4411      -0.776543        0.193160             0.801852         1.025627
  0.4422      -0.747531        0.537251             0.746296         3.704385
  0.4402      -0.703086        0.271944             0.731481         1.147696
  0.4498      -0.769136        0.320386             0.790741         1.422155
  0.4389      -0.718519        0.239461             0.714198         2.147981
  0.4353      -0.686420        0.521742             0.624074         5.755102
  1.0000      -0.998765        0.004938             0.999383         0.001235
  0.4461      -0.688889        0.297674             0.670370         2.265672
  0.4448      -0.706173        0.187911             0.688272         4.177366
  0.4413      -0.691358        0.550277             0.702469         3.388405
  0.4424      -0.689506        0.760211             0.616049         9.646741
  0.4404      -0.732716        0.333637             0.757407         1.925924
  0.4336      -0.702469        0.496056             0.687037         4.388225
  0.4503      -0.781481        0.412952             0.811728         2.141420
  0.4355      -0.675926        0.714550             0.599383        11.679644
  0.4437      -0.722222        0.138256             0.750617         0.835264
  0.4289      -0.678395        0.425083             0.641975         4.596840
  0.4390      -0.708025        0.355352             0.704321         3.151317
  0.4380      -0.750617        0.263836             0.698765         6.800447
  0.4414      -0.691358        0.449612             0.602469        13.124690
  0.4425      -0.776543        0.192761             0.807407         0.964922
  0.4382      -0.735185        0.487013             0.764198         2.466690
  0.4392      -0.722222        0.475163             0.635185         9.008034
  0.4297      -0.667901        0.227362             0.535185         8.300820
  0.4304      -0.667901        0.330787             0.589506         5.027253
  0.4393      -0.720988        0.304362             0.704321         2.243569
