    beta         energy       spec-heat           abs-magnet          suscept
  0.4439      -0.737250        0.413916             0.746375         2.919950
  0.4395      -0.725250        0.570068             0.641375        14.278289
  0.4464      -0.758875        0.698256             0.750750         7.277898
  0.4357      -0.712500        0.592896             0.709250         8.045829
  0.4416      -0.704375        0.265337             0.600000         7.330628
  0.4427      -0.714500        0.461517             0.656500        18.738774
  0.4450      -0.690750        0.286496             0.431500        12.819620
  0.4339      -0.706750        0.246760             0.683750         2.044160
  0.4509      -0.775375        0.370334             0.803375         1.835868
  0.4405      -0.668375        0.308689             0.334625        21.241731
  0.4384      -0.692750        0.249264             0.581875         5.269272
  0.4481      -0.738125        0.765047             0.662250        25.370914
  0.4310      -0.664500        0.177452             0.576000         3.959496
  0.4372      -0.682125        0.402596             0.537875        12.298104
  0.0000       0.008750        0.000000             0.046250         0.000000
  0.4440      -0.753625        0.160851             0.745500         8.048464
  0.4428      -0.734625        0.138043             0.716125         1.157891
  0.4396      -0.704625        0.188342             0.622625         2.078104
  0.4417      -0.737750        0.479036             0.742625         4.334086
  0.4485      -0.723625        0.514547             0.607125        20.486123
  0.4342      -0.704625        0.436561             0.656625         3.702795
  0.4316      -0.690000        0.354398             0.662875         7.412237
  0.4517      -0.757250        0.508151             0.783375         4.154011
  0.4407      -0.699375        0.425228             0.640500         6.582196
  0.4360      -0.704250        0.263247             0.681625         2.656902
  0.4452      -0.745000        0.368889             0.743625         4.561994
  0.4385      -0.641375        0.119816             0.167625         6.246779
  0.4466      -0.733750        0.287895             0.719375         2.401860
  0.4238      -0.642250        0.123415             0.398750         6.483342
  0.4373      -0.675750        0.292442             0.427250        25.827359
  0.4442      -0.744750        0.393216             0.749750         2.476726
  0.4419      -0.728375        0.508252             0.722375         4.305147
  0.4525      -0.769000        0.306109             0.779250         2.051957
  0.4398      -0.718750        0.505338             0.720500         4.024075
  0.4430      -0.742500        0.368190             0.770125         1.856787
  0.4387      -0.660000        0.105849             0.194625        11.452149
  0.4454      -0.771625        0.248556             0.796625         1.371908
  0.4320      -0.705875        0.516861             0.627625        14.690462
  0.4362      -0.693375        1.056587             0.641625        13.252706
  0.4345      -0.700000        0.225381             0.667500         2.211058
  0.4408      -0.717250        0.500288             0.696000         5.248110
  0.4375      -0.651250        0.406556             0.140500        14.626227
  0.4469      -0.734875        0.455937             0.688875        14.263726
  0.4263      -0.671750        0.407147             0.637875         4.019283
  0.4489      -0.754000        0.110805             0.772250         0.951604
  0.4420      -0.683375        0.360640             0.483250        44.893796
  0.4444      -0.703625        0.479312             0.616125         6.428224
  0.4399      -0.699875        0.376168             0.593750        27.523361
  0.4389      -0.744500        0.147355             0.765500         2.245523
  0.4536      -0.773375        0.274346             0.794000         2.844291
  0.4348      -0.660250        0.303453             0.293000        26.781637
  0.4432      -0.740875        0.298968             0.735375         7.037533
  0.4456      -0.732625        0.305448             0.737250         5.486796
  0.4364      -0.683625        0.429663             0.587875         9.977240
  0.4472      -0.741875        0.574918             0.743250         7.987269
  0.4325      -0.677250        0.419363             0.642875         4.762102
  0.4410      -0.726500        0.417655             0.704000         5.161941
  0.4377      -0.662125        0.194348             0.441375         6.662283
  0.4493      -0.746500        0.551483             0.756000         3.995952
  0.4278      -0.654000        0.326511             0.476875        13.401166
  0.4422      -0.702375        0.234702             0.663125        10.766504
  0.4401      -0.758250        0.339601             0.779500         2.252070
  0.4551      -0.792250        0.201456             0.821375         1.243805
  0.4446      -0.738750        0.326044             0.730875         2.905719
  0.4350      -0.718250        0.301753             0.670625         6.407857
  0.4366      -0.701125        0.505772             0.692125         6.248399
  0.4390      -0.696375        0.268160             0.593750         5.207424
  0.4459      -0.717750        0.266482             0.678625         4.392687
  0.4329      -0.666500        0.448238             0.279875        14.134241
  0.4433      -0.724125        0.687048             0.709125         6.806955
  0.4411      -0.736625        0.451156             0.717875         7.771121
  0.4379      -0.695250        0.421778             0.630375         5.577943
  0.4498      -0.726125        0.670188             0.623625        18.105433
  0.4475      -0.753000        0.567677             0.766500         2.441406
  0.4289      -0.625875        0.126092             0.257500        10.934448
  0.4424      -0.724375        0.364215             0.731500         3.062562
  0.4402      -0.684875        1.296091             0.474375        74.650341
  1.0000      -0.998750        0.005000             0.999375         0.001250
  0.4353      -0.662875        0.160621             0.341625         8.843133
  0.4448      -0.746500        0.235632             0.764875         1.001151
  0.4332      -0.706250        0.352039             0.674625         3.387484
  0.4368      -0.699125        0.267297             0.486250        64.599567
  0.4461      -0.754500        0.195719             0.774875         2.854467
  0.4392      -0.708000        0.686102             0.624625        14.146147
  0.4435      -0.743875        0.914370             0.754125         6.783209
  0.4413      -0.723375        0.500688             0.660750        13.367854
  0.4380      -0.717875        0.241983             0.703250         3.543767
  0.4478      -0.756750        0.424338             0.792750         1.308495
  0.4503      -0.753000        0.851574             0.756250         7.180883
  0.4297      -0.648625        0.260616             0.405000        25.238629
  0.4425      -0.717500        0.393713             0.683125         3.551520
  0.4355      -0.711375        0.088346             0.703500         2.541349
  0.4370      -0.702250        0.276628             0.677875         3.232102
  0.4336      -0.672750        0.394244             0.475000        35.902813
  0.4437      -0.733750        0.705607             0.706875         8.340271
  0.4404      -0.691875        0.640894             0.610625        10.850469
  0.4414      -0.738000        0.251184             0.740250         1.890040
  0.4393      -0.700625        0.233672             0.677250         5.671145
  0.4382      -0.687375        0.435728             0.575500        16.030797
  0.4304      -0.675625        0.479353             0.487000        21.775571
