    beta         energy       spec-heat           abs-magnet          suscept
  0.4357      -0.686815        0.495918             0.502420        26.805346
  0.4439      -0.738370        0.368178             0.736494         2.937479
  0.4416      -0.721383        0.380604             0.723457         4.581771
  0.4339      -0.652148        0.193864             0.202667        13.781065
  0.4427      -0.726420        0.445325             0.664494        14.604098
  0.4395      -0.702321        0.361184             0.532247        23.428879
  0.4310      -0.696988        0.284855             0.624691         9.431942
  0.4405      -0.725531        0.599263             0.699753        11.589086
  0.4450      -0.745086        0.387720             0.751605         3.573126
  0.4481      -0.751012        0.136764             0.760889         0.653365
  0.4509      -0.776494        0.418471             0.789432         3.673848
  0.4464      -0.754272        0.268383             0.771358         1.503629
  0.4384      -0.684938        0.237119             0.381037        10.674069
  0.4372      -0.709333        0.232285             0.605728        11.845051
  0.0000      -0.001481        0.000000             0.028148         0.000000
  0.4342      -0.704790        0.140063             0.677333         1.380500
  0.4360      -0.696889        0.135772             0.689185         1.161785
  0.4407      -0.703210        0.702036             0.597037        23.393033
  0.4396      -0.659259        0.276070             0.127407         8.309370
  0.4316      -0.623506        0.311724             0.217481        16.298767
  0.4428      -0.739852        0.285209             0.718519         5.978010
  0.4417      -0.749037        0.433545             0.757926         2.796015
  0.4517      -0.764247        0.534231             0.796346         2.427836
  0.4452      -0.730370        0.675074             0.670519        11.205026
  0.4440      -0.764938        0.317028             0.785086         2.105492
  0.4485      -0.753481        0.165308             0.764642         2.134488
  0.4466      -0.740840        0.203499             0.743605         1.005947
  0.4373      -0.718617        0.272225             0.668049         3.320438
  0.4385      -0.705383        0.402165             0.632494        15.814732
  0.4238      -0.612741        0.193674             0.149432         6.702779
  0.4362      -0.728198        0.394141             0.707556         3.163177
  0.4345      -0.645333        0.147622             0.223704        12.854437
  0.4398      -0.702519        0.272933             0.482173        47.421132
  0.4525      -0.761284        0.193528             0.780148         0.922501
  0.4320      -0.652148        0.549134             0.402765        36.072335
  0.4430      -0.723160        0.357770             0.687704         7.827154
  0.4408      -0.720889        0.927118             0.635062        12.771802
  0.4454      -0.722864        0.265029             0.694321         2.482185
  0.4442      -0.734025        0.659444             0.667062        14.404673
  0.4419      -0.739160        0.352501             0.745185         3.932221
  0.4489      -0.718716        0.293643             0.662519         2.411447
  0.4469      -0.766123        0.529204             0.787556         4.211142
  0.4375      -0.661333        0.406638             0.289679        46.729851
  0.4387      -0.689185        0.321784             0.551704        27.761342
  0.4263      -0.673778        0.567670             0.608790         7.295521
  0.4399      -0.722864        0.715443             0.694519         9.923320
  0.4536      -0.779062        0.370308             0.815309         1.002730
  0.4364      -0.691556        0.212484             0.638222         3.958966
  0.4348      -0.693136        0.044642             0.636444         4.658881
  0.4325      -0.670519        0.641564             0.453630        23.057990
  0.4432      -0.736000        0.498129             0.761877         1.517245
  0.4410      -0.721481        0.256944             0.696790         3.259984
  0.4444      -0.721185        0.552415             0.609778        13.652493
  0.4456      -0.737383        0.449865             0.748444         3.759787
  0.4420      -0.712000        0.532168             0.678321         3.203815
  0.4493      -0.746864        0.287408             0.729383         4.064220
  0.4472      -0.736198        0.178924             0.644148         4.327987
  0.4389      -0.713778        0.472310             0.674469         4.671332
  0.4377      -0.681679        0.300974             0.346469        28.085563
  0.4278      -0.636346        0.470361             0.298765        25.817309
  0.4329      -0.691062        0.237941             0.606716         9.782848
  0.4411      -0.701728        0.286761             0.609481         5.798593
  0.4551      -0.752889        0.481926             0.682667        10.046057
  0.4350      -0.672099        0.572921             0.433086        20.521619
  0.4366      -0.704691        0.201047             0.645630         7.654204
  0.4433      -0.734420        0.241957             0.716049         2.036211
  0.4401      -0.715951        0.328007             0.685827         3.271193
  0.4446      -0.725037        0.276461             0.702815         3.523709
  0.4459      -0.750420        0.114235             0.774420         1.004271
  0.4422      -0.709926        0.464376             0.623407         8.399875
  0.4498      -0.765531        0.099664             0.773630         2.415890
  0.4475      -0.712593        0.184399             0.489481         8.782664
  0.4390      -0.720691        0.501499             0.712889         4.487022
  0.4379      -0.701728        0.225717             0.647605         5.121833
  0.4289      -0.624889        0.223936             0.168494         6.660008
  0.4332      -0.705185        0.213910             0.709827         1.109252
  0.4353      -0.684642        0.521019             0.561580        11.382063
  0.4368      -0.716840        0.444834             0.713185         4.162966
  0.4413      -0.727012        0.409466             0.613827        31.261076
  1.0000      -0.998617        0.005355             0.999309         0.001339
  0.4448      -0.737877        0.299372             0.751111         2.526884
  0.4435      -0.757235        0.198656             0.783210         1.569760
  0.4402      -0.734716        0.344651             0.739556         4.254500
  0.4461      -0.740444        0.292546             0.742025         2.856431
  0.4424      -0.721778        0.205383             0.660938         3.034811
  0.4503      -0.758914        0.527942             0.772346         3.515969
  0.4392      -0.728889        0.874660             0.682765        11.305929
  0.4380      -0.674074        0.437467             0.301037         8.745461
  0.4478      -0.732840        0.169017             0.678815         3.862584
  0.4297      -0.642765        0.356407             0.277136        22.340297
  0.4336      -0.694617        0.370339             0.611852         9.932267
  0.4355      -0.654716        0.227965             0.129185         8.285950
  0.4370      -0.694321        0.847968             0.572741        18.410668
  0.4437      -0.754173        0.337901             0.781728         1.384722
  0.4414      -0.739160        0.346384             0.740148         2.660389
  0.4404      -0.698370        0.263755             0.651160         1.833325
  0.4425      -0.693333        0.356833             0.577580         3.493152
  0.4393      -0.647704        0.189187             0.361975         8.027939
  0.4304      -0.628049        0.357600             0.104198         6.209291
  0.4382      -0.692247        0.402334             0.554173         1.843745
