    beta         energy       spec-heat           abs-magnet          suscept
  0.4395      -0.700346        0.231075             0.537778        22.208862
  0.4439      -0.723704        0.224909             0.626099        14.986466
  0.4509      -0.760395        0.297809             0.762296         2.199337
  0.4405      -0.699309        0.500507             0.472099        40.837798
  0.4450      -0.727136        0.176096             0.685877         8.255893
  0.4357      -0.681778        0.478958             0.460198        33.861426
  0.4416      -0.710370        0.202330             0.597506         3.577368
  0.4372      -0.702395        0.921175             0.595926        20.533142
  0.4481      -0.745556        0.282489             0.741235         6.945116
  0.0000       0.001728        0.000000             0.004198         0.000000
  0.4339      -0.655358        0.195074             0.277679        14.229085
  0.4427      -0.705407        0.141147             0.559951         9.470807
  0.4464      -0.752123        0.147744             0.759284         1.059425
  0.4384      -0.672914        0.170079             0.380272         3.700565
  0.4310      -0.668988        0.897494             0.480247        28.294360
  0.4360      -0.679679        0.171254             0.324296        12.787575
  0.4440      -0.734716        0.365261             0.707111         4.112758
  0.4452      -0.714173        0.250318             0.389358         6.570953
  0.4396      -0.715210        0.204299             0.650988         4.061319
  0.4342      -0.678741        0.234937             0.452272         5.696169
  0.4485      -0.745136        0.254487             0.685630        10.516310
  0.4517      -0.769235        0.449588             0.768444         3.226699
  0.4407      -0.700494        0.357401             0.380691         5.825181
  0.4373      -0.676272        0.296124             0.496321         8.959078
  0.4428      -0.734988        0.317194             0.706543         7.726687
  0.4316      -0.650938        0.238098             0.100148        16.097107
  0.4466      -0.740593        0.344891             0.693457         6.289533
  0.4417      -0.728173        0.276465             0.705951         3.939315
  0.4385      -0.705704        0.537026             0.597753         5.034894
  0.4238      -0.637432        0.258806             0.135432        29.870377
  0.4454      -0.735753        0.568774             0.684469        20.588508
  0.4442      -0.723975        0.346166             0.692716         4.840052
  0.4362      -0.670370        0.124114             0.174790        46.187635
  0.4398      -0.709037        0.282951             0.612296         7.478229
  0.4525      -0.771210        0.293615             0.792765         2.823452
  0.4345      -0.679037        0.413097             0.547975         8.480624
  0.4408      -0.683679        0.673945             0.196370        25.915529
  0.4375      -0.700000        0.323919             0.595457        10.168063
  0.4430      -0.731506        0.481885             0.712543         5.767905
  0.4419      -0.710938        0.300134             0.610691         6.294281
  0.4469      -0.727210        0.543901             0.659852         9.950137
  0.4489      -0.759827        0.350338             0.762914         5.236166
  0.4263      -0.636519        0.125853             0.181284        14.959902
  0.4320      -0.649062        0.430156             0.186444        23.871263
  0.4387      -0.676025        0.257818             0.145235        68.080232
  0.4364      -0.689654        0.185532             0.574543         2.919196
  0.4456      -0.753877        0.343402             0.761210         2.598220
  0.4444      -0.709556        0.554145             0.547926         7.207355
  0.4399      -0.710420        0.325085             0.579531         3.284538
  0.4536      -0.770988        0.360013             0.784765         2.179287
  0.4348      -0.666025        0.224872             0.294025        17.634451
  0.4410      -0.672938        0.477592             0.122864        14.835299
  0.4377      -0.674691        0.538707             0.387160        29.508602
  0.4278      -0.651062        0.283539             0.239012        28.383792
  0.4472      -0.740321        0.089795             0.733556         3.246447
  0.4420      -0.708025        0.412671             0.534617        14.541155
  0.4432      -0.721605        0.209734             0.664914         3.721424
  0.4493      -0.762790        0.259156             0.776642         1.638439
  0.4325      -0.651630        0.666331             0.234321         9.385193
  0.4389      -0.708617        0.288525             0.648074         7.868759
  0.4366      -0.680444        0.337710             0.454815         8.351185
  0.4459      -0.727136        0.474100             0.674025         4.143841
  0.4446      -0.729383        0.279394             0.700593         9.254614
  0.4401      -0.700988        0.370562             0.573012         8.653133
  0.4551      -0.774765        0.301768             0.786667         2.218998
  0.4350      -0.695210        0.079874             0.592099         2.625806
  0.4411      -0.712000        0.332572             0.598272        16.308372
  0.4379      -0.679679        0.501889             0.368148        11.333543
  0.4289      -0.642716        0.260787             0.056148         2.485574
  0.4475      -0.725704        0.852043             0.625753        31.850661
  0.4433      -0.719185        0.267004             0.666395        14.862566
  0.4422      -0.705778        0.233778             0.569827         5.883040
  0.4498      -0.749062        0.561820             0.763235         3.142893
  0.4329      -0.645556        0.548260             0.181086         6.720720
  0.4390      -0.675259        0.304751             0.279506        48.364930
  0.4368      -0.682296        0.474977             0.507358         4.584042
  0.4461      -0.745605        0.146720             0.733704         2.294911
  0.4448      -0.736321        0.640319             0.722914         9.063932
  0.4402      -0.698765        0.309903             0.469235        25.971755
  1.0000      -0.998346        0.010540             0.999136         0.003320
  0.4353      -0.686123        0.356681             0.485852        17.431736
  0.4413      -0.694889        0.511791             0.501160        22.561590
  0.4435      -0.732469        0.382632             0.701630         4.036181
  0.4380      -0.705580        0.228003             0.616765         5.748267
  0.4297      -0.654444        0.216303             0.409358        15.922629
  0.4424      -0.738568        0.392242             0.730346         5.616802
  0.4478      -0.748222        0.326747             0.712469         9.521976
  0.4503      -0.758691        0.487955             0.751951         4.770500
  0.4332      -0.653556        0.356209             0.147481         5.962650
  0.4392      -0.690840        0.121457             0.531531         5.868318
  0.4370      -0.691037        0.389527             0.477358        13.531817
  0.4404      -0.706938        0.403641             0.598568         4.574846
  0.4355      -0.650765        0.483458             0.042938         6.851828
  0.4414      -0.720370        0.177177             0.673827         2.509934
  0.4437      -0.722321        0.262193             0.684938         2.944432
  0.4304      -0.648494        0.860843             0.212173         9.577037
  0.4382      -0.676049        0.346074             0.436790         5.385651
  0.4425      -0.704889        0.560893             0.515111        12.158100
  0.4336      -0.655901        0.141900             0.072123        15.320418
  0.4393      -0.709802        0.290426             0.640914         6.421158
