    beta         energy       spec-heat           abs-magnet          suscept
  0.4439      -0.741939        0.539885             0.751220         2.826427
  0.4405      -0.717906        0.442557             0.686258         4.470783
  0.4310      -0.655919        0.234587             0.448780         4.883319
  0.4395      -0.675312        0.561866             0.143605         4.578969
  0.4464      -0.745390        0.676467             0.725521        11.740003
  0.4339      -0.660797        0.154853             0.501725        10.192187
  0.4357      -0.657942        0.234551             0.246639        16.117955
  0.4481      -0.750863        0.496999             0.716359         3.733203
  0.4450      -0.728138        0.474582             0.647710        11.530245
  0.4427      -0.740274        0.314708             0.748483         3.879957
  0.4372      -0.717906        0.075229             0.714218         2.514286
  0.4384      -0.682689        0.166147             0.560857         1.647535
  0.4509      -0.750506        0.489053             0.718501         5.011165
  0.0000      -0.024390        0.000000             0.031529         0.000000
  0.4416      -0.745390        0.293359             0.766924         2.383269
  0.4440      -0.749435        0.698667             0.768828         4.432103
  0.4360      -0.694825        0.689544             0.567638        24.124783
  0.4407      -0.733611        0.535281             0.675550        14.094299
  0.4517      -0.749792        0.737186             0.744200         7.288624
  0.4238      -0.611898        0.214250             0.221773        11.213388
  0.4396      -0.701725        0.541879             0.602617        12.269130
  0.4316      -0.650684        0.744294             0.440095        23.850332
  0.4417      -0.724688        0.573316             0.645568        35.734661
  0.4385      -0.673052        0.244040             0.129447        10.621983
  0.4342      -0.682213        0.625120             0.599881         7.726516
  0.4428      -0.710173        0.564453             0.481618         9.697353
  0.4452      -0.717668        0.273979             0.687091         2.454713
  0.4373      -0.704343        0.670768             0.697442         5.595286
  0.4466      -0.706365        1.022764             0.491612        56.524178
  0.4485      -0.758715        0.515850             0.746341         5.046933
  0.4525      -0.725877        0.858138             0.599524        32.005695
  0.4408      -0.689946        0.561721             0.577513        11.821249
  0.4442      -0.767757        0.460563             0.782153         4.188796
  0.4345      -0.663415        0.327367             0.370851        37.491829
  0.4362      -0.696609        0.193951             0.641761         2.810209
  0.4430      -0.688757        0.055333             0.402499         9.434291
  0.4419      -0.740274        0.315454             0.734087         4.113777
  0.4454      -0.728971        0.552650             0.641880        10.390738
  0.4320      -0.716597        0.507033             0.711600         2.634885
  0.4375      -0.719810        0.411183             0.725521         6.746946
  0.4263      -0.630934        0.396521             0.411779        14.218915
  0.4536      -0.781797        0.314673             0.820107         2.082166
  0.4410      -0.712671        0.414235             0.692564         5.302493
  0.4469      -0.753123        0.252838             0.784533         1.835031
  0.4489      -0.757763        0.417603             0.792385         1.403856
  0.4432      -0.723736        0.644074             0.678882        13.816169
  0.4348      -0.706841        0.316256             0.686972         4.071066
  0.4364      -0.719691        0.601258             0.704700         4.511325
  0.4398      -0.725045        0.570727             0.672457        11.242722
  0.4456      -0.746579        0.375639             0.739203         6.786651
  0.4387      -0.706603        0.186762             0.627365         6.835815
  0.4444      -0.691612        0.245922             0.228435        11.614294
  0.4350      -0.652112        0.303424             0.302082        43.624900
  0.4459      -0.743367        0.203734             0.771565         1.164706
  0.4366      -0.708150        0.338748             0.682451         3.204381
  0.4433      -0.696133        0.420943             0.623438         3.418753
  0.4446      -0.747650        0.355326             0.746698         2.203445
  0.4411      -0.740512        0.273767             0.758715         2.238380
  0.4399      -0.696252        0.491252             0.571565        33.349733
  0.4551      -0.776919        0.262111             0.810351         1.123168
  0.4420      -0.726710        0.479760             0.730280         4.221989
  0.4325      -0.653896        0.239787             0.426889        26.201195
  0.4389      -0.699465        0.564931             0.667698         5.589181
  0.4278      -0.680071        0.295456             0.635574         2.897622
  0.4472      -0.722308        0.407320             0.612493        17.888743
  0.4493      -0.738846        0.161125             0.739441         2.224145
  0.4377      -0.657347        0.443197             0.314694        26.923168
  0.4353      -0.706960        0.116916             0.673409         3.856185
  0.4435      -0.730518        0.125048             0.722546         1.832026
  0.4413      -0.724926        0.607209             0.707555         4.817853
  0.4401      -0.709459        0.227644             0.652588         4.240471
  1.0000      -0.999524        0.001692             0.999762         0.000423
  0.4461      -0.740155        0.091365             0.731469         0.949494
  0.4448      -0.689233        0.626635             0.437478        35.468431
  0.4422      -0.703272        0.667372             0.640690        12.788232
  0.4390      -0.747531        0.419968             0.768947         2.373855
  0.4329      -0.656752        0.201068             0.442713         4.337450
  0.4368      -0.712314        0.654067             0.682332        10.214426
  0.4355      -0.677930        0.447201             0.239619        40.811404
  0.4379      -0.654134        0.244337             0.197026         9.287073
  0.4475      -0.728971        0.293688             0.731588         2.463227
  0.4289      -0.685425        0.298589             0.594289        15.554655
  0.4498      -0.681380        0.488581             0.328614        29.639380
  0.4437      -0.737894        0.369430             0.738727         3.158863
  0.4414      -0.734206        0.431153             0.737894         2.711255
  0.4402      -0.707198        0.220898             0.667817         2.085064
  0.4424      -0.724807        0.765819             0.671743         6.559757
  0.4332      -0.661511        0.242895             0.497442         8.366495
  0.4370      -0.692921        0.397548             0.639262         4.597842
  0.4392      -0.690898        0.111043             0.609875         4.494849
  0.4380      -0.709340        0.226264             0.618084         3.581890
  0.4297      -0.645449        0.146074             0.435098        14.881083
  0.4478      -0.728019        0.696005             0.650803        19.439435
  0.4503      -0.774420        0.336755             0.814634         1.545668
  0.4404      -0.731707        0.344399             0.746104         2.509459
  0.4393      -0.698513        0.195872             0.630815         4.697060
  0.4336      -0.676859        0.461673             0.565259         5.059628
  0.4425      -0.731826        0.364097             0.707317         5.599095
  0.4382      -0.658418        0.245060             0.254491        10.049821
  0.4304      -0.663772        0.365239             0.562879         4.310856
