    beta         energy       spec-heat           abs-magnet          suscept
  0.4310      -0.653302        0.488300             0.288805        25.930416
  0.4427      -0.747882        0.430764             0.753562         5.156206
  0.4439      -0.728142        0.371876             0.712473         4.767924
  0.4339      -0.677396        0.372264             0.441467        21.111325
  0.4357      -0.685586        0.384100             0.506083         4.025088
  0.4481      -0.741160        0.586344             0.736237         6.248390
  0.4395      -0.687290        0.384900             0.384710         8.469690
  0.4450      -0.743006        0.257239             0.744473         2.763806
  0.4416      -0.711953        0.372115             0.649704         8.482231
  0.4405      -0.741396        0.165448             0.751385         1.894621
  0.4509      -0.768000        0.206790             0.771077         3.988513
  0.4372      -0.670817        0.259496             0.150911         2.782058
  0.0000       0.014911        0.000000             0.004970         0.000000
  0.4464      -0.724686        0.242998             0.652923        13.029634
  0.4384      -0.691172        0.216025             0.601136         3.661463
  0.4360      -0.671763        0.325928             0.165112        17.440959
  0.4342      -0.688379        0.145017             0.611408         4.978760
  0.4440      -0.730651        0.149127             0.711432         2.754974
  0.4316      -0.644781        0.509614             0.116828         6.669969
  0.4452      -0.704615        0.479684             0.462249        15.042864
  0.4428      -0.712331        0.382758             0.690556         4.956177
  0.4485      -0.742485        0.328780             0.702533         7.197395
  0.4407      -0.699834        0.358060             0.492686         3.750426
  0.4417      -0.722651        0.115873             0.685207         9.090920
  0.4396      -0.701964        0.184577             0.384095        22.552209
  0.4466      -0.739834        0.289232             0.739266         3.211149
  0.4517      -0.774627        0.588083             0.781349         7.835290
  0.4373      -0.700592        0.122700             0.631148         3.941705
  0.4238      -0.621964        0.432159             0.102959        30.917210
  0.4385      -0.707740        0.174148             0.637728         1.736471
  0.4362      -0.691503        0.909040             0.518769        67.854099
  0.4345      -0.664331        0.194750             0.256331         8.758808
  0.4442      -0.733538        0.265722             0.708686         2.239473
  0.4454      -0.723314        0.311231             0.637822        16.992310
  0.4320      -0.685491        0.541571             0.581112        11.748839
  0.4408      -0.713278        0.520809             0.640521        17.931010
  0.4430      -0.718533        0.857994             0.672000        17.260124
  0.4419      -0.718722        0.584064             0.655621        13.862397
  0.4525      -0.778414        0.739724             0.810746         2.508506
  0.4398      -0.716828        0.696909             0.679290         7.643815
  0.4489      -0.757396        0.390122             0.770272         2.493832
  0.4469      -0.753041        0.412389             0.751905         5.096273
  0.4348      -0.671527        0.411879             0.513183        28.716446
  0.4364      -0.673136        1.059148             0.411219        69.509199
  0.4456      -0.750107        0.198778             0.755645         1.990645
  0.4375      -0.692071        0.330930             0.485207        13.112656
  0.4444      -0.731266        0.667274             0.627645         6.001471
  0.4263      -0.620828        0.348114             0.165586        39.914171
  0.4387      -0.703669        0.082194             0.594320         5.390557
  0.4410      -0.740592        0.517397             0.756828         3.234252
  0.4493      -0.758533        0.253431             0.768805         2.626325
  0.4325      -0.654201        0.325756             0.399243         7.298877
  0.4399      -0.703053        0.895214             0.617325        23.696042
  0.4536      -0.771976        0.277265             0.789586         1.820113
  0.4420      -0.722036        0.342983             0.684355         4.520145
  0.4432      -0.713183        0.218105             0.672426         2.455872
  0.4472      -0.754793        0.643286             0.765018         3.167859
  0.4350      -0.684071        0.234391             0.551195         7.466061
  0.4366      -0.698130        0.125555             0.631811         3.613657
  0.4459      -0.751337        0.479488             0.755219         4.014186
  0.4377      -0.677964        0.284274             0.207716         7.323181
  0.4446      -0.735479        0.363588             0.698130         8.181062
  0.4389      -0.709491        0.299318             0.672426         2.745517
  0.4278      -0.637822        0.316282             0.226982        36.210521
  0.4411      -0.727385        0.045996             0.677065         5.004470
  0.4498      -0.759432        0.194392             0.770130         2.443824
  0.4329      -0.675077        0.678988             0.478675        23.108689
  0.4401      -0.723266        0.514563             0.699361         6.563948
  0.4551      -0.777136        0.294863             0.805775         1.503534
  0.4422      -0.718769        0.591532             0.625704        17.645654
  0.4433      -0.701396        0.230773             0.525680         8.602073
  0.4475      -0.743811        0.632221             0.719669        12.311203
  0.4368      -0.674698        0.243136             0.375574         5.078724
  0.4461      -0.725728        0.519657             0.675976         4.558327
  0.4353      -0.692402        0.357607             0.598675         3.538415
  0.4448      -0.743385        0.374759             0.722178         8.638863
  0.4413      -0.720000        0.232636             0.680473         8.207738
  0.4289      -0.629396        0.301795             0.314509        12.136140
  0.4379      -0.666509        0.143166             0.407811         5.449096
  0.4390      -0.710864        0.891654             0.629160        19.883369
  0.4503      -0.753988        0.197382             0.753278         2.707431
  0.4332      -0.664426        0.457386             0.356686        23.303856
  0.4435      -0.705325        0.213381             0.588686        10.021661
  0.4424      -0.704805        0.292475             0.647006         4.698324
  0.4402      -0.703053        0.379984             0.643976         9.210880
  1.0000      -0.998580        0.006101             0.999290         0.001525
  0.4478      -0.745988        0.425963             0.746746         4.540629
  0.4370      -0.683030        0.354278             0.424237        25.882991
  0.4355      -0.707882        0.443416             0.626509        10.296109
  0.4297      -0.672047        0.194821             0.499456        25.360347
  0.4414      -0.679858        0.155957             0.206438        32.794650
  0.4392      -0.681136        0.403186             0.423905        15.757018
  0.4380      -0.691598        0.657330             0.484639         9.365803
  0.4336      -0.669822        0.165336             0.489988         6.142810
  0.4437      -0.679195        0.198050             0.386604         7.558035
  0.4425      -0.692071        0.249716             0.540166         5.978939
  0.4404      -0.667030        0.347485             0.056331         3.818867
  0.4304      -0.640805        0.631357             0.116355        13.522544
  0.4393      -0.713278        0.249649             0.665799         6.797200
  0.4382      -0.679101        0.207671             0.544379         2.702660
