    beta         energy       spec-heat           abs-magnet          suscept
  0.4481      -0.746614        0.514992             0.728731         6.307965
  0.4357      -0.697173        0.468245             0.639448         4.602169
  0.4450      -0.752137        0.513858             0.767521         1.639119
  0.4384      -0.712689        0.553918             0.695464         7.754105
  0.4395      -0.722156        0.695536             0.694806         6.798827
  0.4509      -0.755687        0.401780             0.746088         4.498717
  0.4372      -0.662722        0.672357             0.444050         6.738668
  0.4310      -0.655227        0.108666             0.514267         3.794200
  0.0000       0.023011        0.000000             0.019066         0.000000
  0.4427      -0.734780        0.315747             0.714398         3.835007
  0.4464      -0.721236        0.448274             0.647600         9.212383
  0.4416      -0.725312        0.335210             0.711243         3.228502
  0.4339      -0.636818        0.323239             0.343327        18.941233
  0.4405      -0.748192        0.420697             0.765023         3.399444
  0.4439      -0.732413        0.386880             0.726627         3.178741
  0.4452      -0.766601        0.426303             0.795661         1.093864
  0.4485      -0.741223        0.518038             0.706509         7.546261
  0.4360      -0.682051        0.217786             0.494806        15.614377
  0.4396      -0.716634        0.575410             0.693754         6.011663
  0.4373      -0.690598        0.466337             0.589612        13.201557
  0.4342      -0.669560        0.391586             0.113215         7.495652
  0.4385      -0.699671        0.329323             0.644181         6.651643
  0.4316      -0.688626        0.096744             0.532939         7.723011
  0.4517      -0.769888        0.330708             0.785404         1.245281
  0.4466      -0.762393        0.806785             0.759632         8.021733
  0.4407      -0.739776        0.514299             0.754241         3.162733
  0.4440      -0.730835        0.192781             0.736226         1.406542
  0.4428      -0.712558        0.748981             0.662722         7.476550
  0.4238      -0.611834        0.357922             0.208284        13.960280
  0.4417      -0.667193        0.412532             0.246680        12.366170
  0.4454      -0.781986        0.330194             0.817094         1.483096
  0.4362      -0.717028        0.135950             0.678764         3.440663
  0.4489      -0.729257        0.657870             0.609467        16.382748
  0.4398      -0.694412        0.460737             0.563051         6.003876
  0.4345      -0.670348        0.330538             0.500197        16.260334
  0.4525      -0.754372        0.333018             0.731492         6.299795
  0.4375      -0.707692        0.299142             0.635108         9.555433
  0.4442      -0.739250        0.395332             0.741617         2.369759
  0.4320      -0.631164        0.250496             0.311900        19.476356
  0.4430      -0.730703        0.174538             0.653780        10.805551
  0.4387      -0.721893        0.674409             0.695201        10.066895
  0.4263      -0.632347        0.368720             0.377252         6.475871
  0.4408      -0.718738        0.496590             0.711111         3.448901
  0.4419      -0.753715        0.684716             0.757791         5.079688
  0.4469      -0.743458        0.316690             0.728337         2.474592
  0.4456      -0.755161        0.197979             0.788034         0.646355
  0.4399      -0.742669        0.308114             0.722551         5.250048
  0.4536      -0.762525        0.320239             0.780539         1.832689
  0.4493      -0.746877        0.199430             0.726233         4.497601
  0.4348      -0.651545        0.351049             0.365155         5.796979
  0.4364      -0.726890        0.317057             0.687311         8.175962
  0.4444      -0.716108        0.239203             0.597502         8.804256
  0.4410      -0.737147        0.302360             0.737147         2.185558
  0.4377      -0.666535        0.368814             0.490993        10.696080
  0.4325      -0.689941        0.571221             0.557922        23.126736
  0.4432      -0.730572        0.242232             0.698356         3.177633
  0.4389      -0.732544        0.509328             0.732807         3.916525
  0.4278      -0.670480        0.215719             0.572387         4.506089
  0.4472      -0.713609        0.759215             0.582643        23.997608
  0.4420      -0.720447        0.238583             0.680999         8.108511
  0.4459      -0.726627        0.509160             0.717291         5.812060
  0.4401      -0.746746        0.260918             0.738725         1.304488
  0.4498      -0.752663        0.117110             0.733596         3.427348
  0.4551      -0.777383        0.409369             0.798159         2.521959
  0.4366      -0.670611        0.208881             0.217094        10.904748
  0.4350      -0.675871        0.191908             0.328074        17.043732
  0.4446      -0.705194        0.507109             0.486785        17.366201
  0.4329      -0.677055        0.171840             0.568179         5.556198
  0.4411      -0.709928        0.437986             0.673899         3.470828
  0.4433      -0.751085        0.200789             0.759763         1.339512
  0.4390      -0.700329        0.596452             0.638922        10.887852
  0.4379      -0.736095        0.223204             0.733859         2.729159
  0.4289      -0.627087        0.522503             0.185930         7.506458
  0.4475      -0.747666        0.541959             0.732281         2.576423
  0.4422      -0.751611        0.194553             0.770546         0.922397
  0.4461      -0.716765        0.381040             0.724786         3.686989
  0.4402      -0.719790        1.082628             0.701775        13.880942
  0.4368      -0.663116        0.608261             0.402761        39.381250
  1.0000      -0.998028        0.012419             0.998948         0.003974
  0.4353      -0.680605        0.445032             0.554767         8.916340
  0.4503      -0.710191        0.439143             0.397239        54.023196
  0.4448      -0.737278        0.372396             0.749507         1.673584
  0.4435      -0.731492        0.405875             0.740171         4.092410
  0.4413      -0.708087        0.380222             0.578304        16.946924
  0.4332      -0.640368        0.223911             0.273504        16.336477
  0.4392      -0.698882        0.532354             0.604471         9.790068
  0.4297      -0.644839        0.189115             0.397633         9.706807
  0.4380      -0.642341        0.209467             0.220776         8.104805
  0.4478      -0.759763        0.909355             0.766864         9.003067
  0.4424      -0.731755        0.388593             0.725181         2.748072
  0.4404      -0.713083        0.644549             0.675871         8.268239
  0.4370      -0.679553        0.274732             0.498093         9.303561
  0.4355      -0.662722        0.198987             0.518869         9.643328
  0.4414      -0.728600        0.896165             0.728337         9.012103
  0.4437      -0.726890        0.552211             0.705851         5.889047
  0.4336      -0.689941        0.366270             0.593162         7.325314
  0.4425      -0.708744        0.506888             0.601446        23.150873
  0.4382      -0.705457        0.770170             0.546351        25.589700
  0.4304      -0.656673        0.283397             0.394214         3.303818
  0.4393      -0.718080        0.310547             0.674688         6.638993
