    beta         energy       spec-heat           abs-magnet          suscept
  0.4450      -0.716162        0.780207             0.646786        16.273761
  0.4439      -0.727732        0.485437             0.689761        13.894844
  0.4427      -0.735537        0.679526             0.718733         9.085382
  0.4405      -0.706612        0.164510             0.648531         7.224992
  0.4509      -0.746970        0.343567             0.757392         1.527192
  0.4395      -0.709091        0.310146             0.626446         8.502976
  0.4357      -0.686731        0.502000             0.508127        14.567687
  0.4481      -0.761433        0.319856             0.780441         2.601165
  0.4339      -0.680579        0.314958             0.547107         9.908173
  0.4310      -0.651286        0.254291             0.305877        30.359146
  0.4416      -0.696281        0.414723             0.501653        19.697668
  0.4372      -0.664141        0.407368             0.171028        38.714288
  0.0000       0.000459        0.000000             0.018825         0.000000
  0.4384      -0.694720        0.330279             0.556152         8.600847
  0.4464      -0.745500        0.232676             0.751561         0.971724
  0.4440      -0.727410        0.192081             0.702112         2.168563
  0.4407      -0.716116        0.337963             0.701653         3.677902
  0.4396      -0.726905        0.348446             0.700367         6.204297
  0.4517      -0.760514        0.698016             0.737098         6.658437
  0.4452      -0.708815        0.094273             0.529844         3.203797
  0.4360      -0.682874        0.142373             0.327273        30.996353
  0.4342      -0.653949        0.207173             0.147934        19.769158
  0.4428      -0.692103        0.702160             0.366253        27.286819
  0.4316      -0.633058        0.363909             0.076263         3.407690
  0.4485      -0.755923        0.354529             0.758127         3.262695
  0.4238      -0.617906        0.357462             0.217034        13.671565
  0.4373      -0.714876        0.126299             0.677778         2.014828
  0.4417      -0.729706        0.479230             0.712718         3.623629
  0.4385      -0.715794        1.054468             0.626125        16.389738
  0.4466      -0.755601        0.378296             0.767860         2.732205
  0.4442      -0.732553        0.398217             0.733655         3.114252
  0.4525      -0.782094        0.273495             0.803535         3.471775
  0.4398      -0.714141        0.597427             0.629063         6.481530
  0.4408      -0.655051        0.156011             0.101561         7.556138
  0.4362      -0.655096        0.355786             0.232415        10.971490
  0.4454      -0.741460        0.198398             0.752204         3.161715
  0.4345      -0.695133        0.328635             0.628880         6.231070
  0.4320      -0.663728        0.219793             0.283196        11.727920
  0.4430      -0.737695        0.503477             0.744582         3.445133
  0.4489      -0.755326        0.761671             0.755280         6.423372
  0.4419      -0.731956        0.591443             0.702388         8.338586
  0.4375      -0.722222        0.664904             0.703535         4.604441
  0.4263      -0.641322        0.298593             0.429247        19.468850
  0.4387      -0.681129        0.667598             0.506612        32.491301
  0.4469      -0.743572        0.665620             0.735308         9.381305
  0.4444      -0.740725        0.347805             0.730211         3.422517
  0.4536      -0.757943        0.385975             0.761065         7.101048
  0.4456      -0.750826        0.249277             0.722773         9.910325
  0.4399      -0.683884        0.103644             0.428007        31.686850
  0.4364      -0.688981        0.407355             0.584343         5.352176
  0.4410      -0.697980        0.497266             0.497245        28.355049
  0.4348      -0.673600        0.347152             0.523416        20.948062
  0.4325      -0.671442        0.219737             0.513590        12.083788
  0.4432      -0.712029        0.239654             0.622360         9.404009
  0.4493      -0.755739        0.234214             0.773600         2.301912
  0.4420      -0.673783        0.438555             0.148301        14.286193
  0.4278      -0.654959        0.269982             0.357484        26.000064
  0.4377      -0.667539        0.140674             0.194949         9.743678
  0.4389      -0.728007        0.159215             0.736180         0.648651
  0.4472      -0.751607        0.251559             0.741690         3.690080
  0.4446      -0.727732        0.082730             0.627594         8.613147
  0.4551      -0.758586        0.653528             0.731680         4.804844
  0.4459      -0.742975        0.336500             0.707163         6.397492
  0.4366      -0.675803        0.448464             0.519972        18.365209
  0.4401      -0.713728        0.232793             0.664417         2.787481
  0.4411      -0.722544        0.313636             0.684573         5.387437
  0.4350      -0.665289        0.493131             0.343067        18.975074
  0.4329      -0.680854        0.285382             0.584068        17.007692
  0.4433      -0.717034        0.331050             0.596648        15.346321
  0.4498      -0.752204        0.325791             0.737833         3.641748
  0.4422      -0.688751        0.149973             0.273783         4.427821
  0.4379      -0.695822        0.543911             0.547658         9.603109
  0.4390      -0.705693        1.302069             0.657943        14.470537
  0.4289      -0.637420        0.374220             0.124885         9.246984
  0.4475      -0.730946        0.246300             0.684068         2.061032
  0.4448      -0.696878        0.679577             0.400643         4.672175
  1.0000      -0.999082        0.004897             0.999541         0.001224
  0.4461      -0.744674        0.309432             0.711892         6.510641
  0.4353      -0.704683        0.309430             0.627135         4.866065
  0.4413      -0.693618        0.251740             0.481221         4.744651
  0.4402      -0.671258        0.621232             0.343205        19.896083
  0.4368      -0.701928        0.252213             0.546373        18.093067
  0.4332      -0.658173        0.122538             0.090129        10.203936
  0.4435      -0.723646        0.351230             0.714555         5.505721
  0.4424      -0.716437        0.129026             0.672635         2.548550
  0.4503      -0.760376        0.156493             0.760790         2.174174
  0.4380      -0.684298        0.335091             0.500046        25.052388
  0.4392      -0.699587        0.577568             0.597199        15.878302
  0.4297      -0.656933        0.216394             0.491322         8.819710
  0.4478      -0.715519        0.150790             0.605280         4.826150
  0.4414      -0.708081        0.803360             0.629982         6.905495
  0.4355      -0.660836        0.204120             0.315840        13.319539
  0.4370      -0.671809        0.340998             0.121212        11.946048
  0.4404      -0.713499        0.081170             0.681910         2.256602
  0.4336      -0.660836        0.874852             0.251056        37.263318
  0.4437      -0.690129        0.166562             0.320845        13.587807
  0.4425      -0.718182        0.402187             0.677732         6.082698
  0.4382      -0.683747        0.758799             0.479706        33.189087
  0.4393      -0.701377        0.449588             0.639302        11.793428
  0.4304      -0.627227        0.293654             0.203030        41.239080
