    beta         energy       spec-heat           abs-magnet          suscept
  0.4439      -0.717626        0.234280             0.509505        12.814711
  0.4357      -0.661928        0.168999             0.184076        18.797973
  0.4405      -0.726488        0.324229             0.712711         4.771519
  0.4372      -0.685429        0.321428             0.244325         5.970963
  0.4450      -0.746949        0.366444             0.739584         5.602575
  0.4416      -0.718609        0.151827             0.603932         4.287548
  0.4384      -0.691675        0.465897             0.395871        24.354182
  0.4310      -0.654790        0.342898             0.281180        47.687445
  0.4427      -0.720302        0.327363             0.655471         6.423092
  0.4509      -0.756491        0.312118             0.753512         2.532909
  0.4395      -0.701429        0.250623             0.502367         3.418034
  0.4339      -0.665527        0.528301             0.130284        18.737181
  0.4481      -0.743032        0.583831             0.692401        15.361221
  0.4464      -0.754450        0.109339             0.759304         2.918942
  0.0000      -0.001739        0.000000             0.008847         0.000000
  0.4440      -0.730344        0.725819             0.703093         2.711385
  0.4452      -0.731977        0.278381             0.691720         7.674444
  0.4360      -0.670231        0.456089             0.264847        10.083727
  0.4316      -0.650601        0.304655             0.258299        15.939616
  0.4517      -0.760862        0.291800             0.769890         1.038313
  0.4417      -0.716431        0.154377             0.627236         3.161506
  0.4428      -0.720862        0.268756             0.664000         4.601555
  0.4396      -0.668053        0.077658             0.140991         5.146257
  0.4373      -0.676779        0.399892             0.300703         6.640374
  0.4342      -0.664605        0.400209             0.241285        46.279747
  0.4385      -0.713225        0.393087             0.630881        13.583019
  0.4485      -0.750095        0.128455             0.755977         2.581481
  0.4407      -0.687561        0.257119             0.349399        16.012792
  0.4238      -0.622034        0.293492             0.088922        29.552958
  0.4466      -0.746163        0.305808             0.742548         1.300127
  0.4442      -0.740960        0.181725             0.737119         5.226817
  0.4362      -0.682616        0.296319             0.384333         3.558242
  0.4320      -0.648665        0.353201             0.169164        35.505510
  0.4525      -0.765096        0.232709             0.788733         1.204093
  0.4454      -0.740386        0.328642             0.721149         2.405529
  0.4419      -0.708809        0.530176             0.520363         2.212342
  0.4345      -0.670790        0.257428             0.325248         5.474641
  0.4398      -0.705981        0.153588             0.558291        26.215621
  0.4408      -0.694669        0.414050             0.293066         7.200858
  0.4430      -0.725353        0.370504             0.673104         2.569570
  0.4375      -0.683146        0.262475             0.273633        14.854220
  0.4263      -0.636098        0.469154             0.097301        14.118183
  0.4489      -0.757747        0.441545             0.770647         3.986818
  0.4469      -0.729951        0.383318             0.633724         3.829799
  0.4387      -0.708446        0.358780             0.626692        13.216922
  0.4364      -0.670972        0.337558             0.052159         6.124866
  0.4444      -0.731418        0.377086             0.697603         3.722361
  0.4325      -0.657452        0.195957             0.068703        16.354581
  0.4456      -0.710170        0.360540             0.332355        16.455697
  0.4348      -0.677051        0.341543             0.415017        18.768779
  0.4399      -0.683297        0.214886             0.396885        19.618418
  0.4536      -0.772870        0.303340             0.789595         1.727416
  0.4420      -0.734352        0.296171             0.720272         1.088506
  0.4432      -0.718866        0.380267             0.576907         9.754697
  0.4410      -0.711698        0.303284             0.523236        36.237291
  0.4472      -0.754480        0.175234             0.758745         1.960108
  0.4278      -0.639108        0.137642             0.034798         6.563808
  0.4493      -0.745346        0.186767             0.720741         4.549729
  0.4377      -0.689422        0.240015             0.495607         6.568666
  0.4389      -0.694095        0.201793             0.443509        16.387181
  0.4366      -0.691388        0.509803             0.600605        21.324309
  0.4446      -0.729936        0.431842             0.707418         2.799361
  0.4329      -0.662654        0.358225             0.162873        15.067310
  0.4459      -0.726473        0.222598             0.649346         8.670715
  0.4551      -0.775350        0.324027             0.785195         3.756444
  0.4350      -0.671214        0.286127             0.292930        53.692164
  0.4401      -0.711667        0.199080             0.612068         5.558416
  0.4433      -0.704817        0.214729             0.478820         2.439793
  0.4422      -0.717369        0.637275             0.636839        13.764037
  0.4411      -0.701096        0.223391             0.439380         9.642965
  0.4475      -0.749626        0.164084             0.749308         4.200149
  0.4289      -0.646578        0.189035             0.306450         4.245752
  0.4498      -0.760968        0.208987             0.770072         2.666694
  0.4390      -0.684975        0.362733             0.367410        10.138166
  0.4379      -0.702155        0.503930             0.551395         7.975652
  0.4368      -0.683690        0.340344             0.112257        20.109032
  0.4448      -0.732189        0.622548             0.696786         7.535469
  0.4461      -0.732870        0.213929             0.677732         3.062530
  0.4332      -0.659357        0.532615             0.327471        32.433552
  1.0000      -0.998533        0.005380             0.999244         0.001479
  0.4435      -0.730374        0.321096             0.687622         8.702965
  0.4353      -0.688091        0.174978             0.485580        15.717457
  0.4402      -0.715040        0.227729             0.647440         2.754198
  0.4424      -0.731055        0.455720             0.706934         2.884908
  0.4297      -0.636597        0.612543             0.045716         7.656337
  0.4392      -0.713769        0.500268             0.644446         8.530685
  0.4380      -0.701913        0.409987             0.568771         8.432279
  0.4413      -0.713119        0.385944             0.508204        10.583203
  0.4478      -0.730057        0.398105             0.572113         8.569902
  0.4503      -0.760681        0.391841             0.765414         2.141849
  0.4370      -0.672877        0.452991             0.072968         8.717419
  0.4355      -0.684507        0.362696             0.399047        29.539285
  0.4437      -0.723206        0.148307             0.666314         3.340645
  0.4336      -0.665255        0.394587             0.276688        20.067862
  0.4404      -0.691932        0.427095             0.442994        21.823339
  0.4425      -0.711894        0.098693             0.640786         1.481318
  0.4304      -0.644794        0.384338             0.162268        13.107398
  0.4393      -0.684008        0.157437             0.388688        39.494867
  0.4414      -0.709369        0.436343             0.570102        11.462571
  0.4382      -0.679002        0.176395             0.062594         6.242236
