    beta         energy       spec-heat           abs-magnet          suscept
  0.4509      -0.767534        0.350650             0.789348         1.481002
  0.4416      -0.729987        0.315150             0.710030        15.142866
  0.4395      -0.706152        0.223041             0.603857         3.782841
  0.4339      -0.660973        0.372784             0.054729         8.406764
  0.4450      -0.734129        0.211392             0.694990         8.412383
  0.4405      -0.692868        0.392708             0.261647        10.014016
  0.4357      -0.677808        0.365797             0.411774        10.468508
  0.4310      -0.651383        0.251155             0.240363        22.243690
  0.4427      -0.732435        0.182984             0.724355         2.960717
  0.4439      -0.714213        0.284633             0.581430        19.659986
  0.4464      -0.724906        0.325888             0.433650         8.500731
  0.0000      -0.010305        0.000000             0.002755         0.000000
  0.4481      -0.754372        0.471397             0.760718         5.958919
  0.4384      -0.680339        0.332400             0.398510         5.717324
  0.4372      -0.672217        0.696810             0.074156         3.628555
  0.4517      -0.762861        0.218117             0.756045         0.989747
  0.4342      -0.673727        0.195086             0.333762         3.610167
  0.4452      -0.744047        0.448114             0.739884         8.693625
  0.4360      -0.695337        0.442416             0.561698        13.980516
  0.4396      -0.683522        0.181397             0.270360        15.681487
  0.4417      -0.727395        0.380152             0.686073         9.447105
  0.4407      -0.699929        0.296399             0.497623        11.400111
  0.4316      -0.675421        0.597186             0.395898        37.014379
  0.4440      -0.734129        0.440065             0.684706         2.289766
  0.4466      -0.746352        0.356667             0.726130         5.501232
  0.4428      -0.716090        0.148565             0.626405         5.238544
  0.4238      -0.622998        0.341522             0.091725         7.091289
  0.4485      -0.747434        0.770331             0.712335        26.923445
  0.4373      -0.681073        0.132638             0.131864         2.774556
  0.4385      -0.686481        0.341316             0.284461         4.165834
  0.4454      -0.723742        0.208038             0.658463         1.651668
  0.4362      -0.671829        0.241669             0.481502         3.891378
  0.4525      -0.757066        0.267860             0.759474         3.929776
  0.4408      -0.702969        0.371964             0.560392         8.464879
  0.4398      -0.722824        0.422373             0.667993         5.351778
  0.4345      -0.656198        0.221903             0.278543        24.457912
  0.4419      -0.701888        0.218158             0.556045        13.062486
  0.4442      -0.726803        0.548388             0.681726         8.385341
  0.4320      -0.665891        0.259715             0.455423         7.140469
  0.4430      -0.726620        0.405280             0.657198         4.836557
  0.4469      -0.744842        0.170240             0.721110         4.794267
  0.4387      -0.687379        0.215020             0.094664        10.936229
  0.4263      -0.636139        0.158740             0.056953         3.518780
  0.4489      -0.747883        0.422693             0.722947         3.132122
  0.4375      -0.716253        0.205485             0.660524         3.717825
  0.4364      -0.681094        0.179917             0.450015        17.919973
  0.4456      -0.745536        0.483915             0.743802         7.532595
  0.4399      -0.701990        0.405289             0.578145        17.423113
  0.4410      -0.671421        0.423146             0.259565        24.226588
  0.4348      -0.665973        0.288481             0.067401        10.905691
  0.4444      -0.743883        0.610838             0.739047         5.373050
  0.4536      -0.759902        0.358906             0.746067         3.734229
  0.4325      -0.658933        0.080257             0.301275         3.143878
  0.4420      -0.716600        0.389406             0.644444        13.041745
  0.4432      -0.715968        0.283025             0.625406         5.847947
  0.4389      -0.694092        0.268022             0.510825        18.018825
  0.4472      -0.740537        0.313618             0.719008         6.994541
  0.4493      -0.759086        0.342080             0.769840         5.415662
  0.4278      -0.635303        0.625212             0.149515        22.810980
  0.4377      -0.699398        0.328649             0.586124        24.748579
  0.4366      -0.664830        0.156911             0.201755        24.992454
  0.4350      -0.662116        0.223165             0.146312        10.952475
  0.4401      -0.678196        0.156418             0.214488        13.013391
  0.4446      -0.738414        0.667640             0.737761         6.568255
  0.4551      -0.772044        0.341544             0.782206         2.050949
  0.4459      -0.739884        0.470404             0.730170         3.728481
  0.4411      -0.704724        0.089110             0.481053         6.904049
  0.4329      -0.668544        0.264705             0.412672         5.796527
  0.4422      -0.689909        0.533870             0.199980        91.446441
  0.4433      -0.721559        0.163697             0.588267         6.062822
  0.4390      -0.692235        0.325012             0.402938        17.104323
  0.4498      -0.760290        0.147053             0.763738         2.285003
  0.4475      -0.742659        0.251774             0.680543         8.615874
  0.4379      -0.705010        0.340191             0.586675         8.226252
  0.4289      -0.643791        0.525199             0.156678        37.350244
  0.4368      -0.689134        0.129940             0.355719        30.178801
  0.4353      -0.673339        0.458560             0.313315         4.675879
  0.4402      -0.693093        0.342967             0.259116        17.270790
  1.0000      -0.972309        0.003179             0.227854         2.964364
  0.4448      -0.719722        0.240587             0.504908        22.254778
  0.4461      -0.746271        0.207751             0.742781         3.973032
  0.4332      -0.658790        0.444566             0.326436        30.712996
  0.4413      -0.698949        0.342080             0.406122        15.800422
  0.4424      -0.720865        0.211555             0.592327        51.412271
  0.4392      -0.705255        0.418466             0.629242         3.265791
  0.4435      -0.709213        0.573124             0.576982         1.511512
  0.4503      -0.755964        0.346165             0.752964         5.475146
  0.4380      -0.667503        0.305495             0.151107         8.511429
  0.4478      -0.742924        0.419302             0.697419         9.001681
  0.4297      -0.656729        0.191567             0.062300         5.524499
  0.4370      -0.702989        0.334291             0.589124        12.240102
  0.4355      -0.682420        0.473601             0.314437        20.768679
  0.4404      -0.695419        0.565602             0.500214         6.985478
  0.4336      -0.664034        0.340711             0.410183        19.304009
  0.4414      -0.696092        0.252728             0.491052        33.379359
  0.4425      -0.726885        0.520422             0.698521        13.948984
  0.4393      -0.689501        0.361120             0.439425         6.489088
  0.4437      -0.716437        0.187981             0.536374         5.799330
  0.4382      -0.691072        0.329540             0.563942         4.820256
  0.4304      -0.645689        0.272824             0.196674        22.920098
