    beta         energy       spec-heat           abs-magnet          suscept
  0.4509      -0.763041        0.454089             0.750876        11.308745
  0.4427      -0.736529        0.459359             0.752529         4.779795
  0.4450      -0.753785        0.326684             0.773818         1.585807
  0.4416      -0.721851        0.270806             0.702413         2.048189
  0.4357      -0.653950        0.340333             0.234446         2.691429
  0.4405      -0.715901        0.251781             0.681058         5.818837
  0.4339      -0.645884        0.380411             0.251636        18.649628
  0.4439      -0.763901        0.317382             0.793256         1.704939
  0.4395      -0.729190        0.172601             0.728860         2.432664
  0.4481      -0.751405        0.216334             0.770777         2.082168
  0.4464      -0.733488        0.352933             0.701686         7.699904
  0.4372      -0.676298        0.464133             0.330380         4.190223
  0.4384      -0.719934        0.373492             0.683901         7.299693
  0.4310      -0.646810        0.403497             0.371174        11.992499
  0.0000      -0.004298        0.000000             0.033388         0.000000
  0.4517      -0.771041        0.296663             0.795504         3.279483
  0.4452      -0.737058        0.363848             0.718149         1.654523
  0.4360      -0.671339        0.292106             0.448661         4.879782
  0.4407      -0.658182        0.305192             0.172430         9.136508
  0.4428      -0.737322        0.120959             0.706777         5.726550
  0.4342      -0.685752        0.133460             0.565554        10.589465
  0.4485      -0.747901        0.121705             0.769521         0.878010
  0.4417      -0.730579        0.514011             0.737256         4.967392
  0.4385      -0.674975        0.277760             0.475901        10.981761
  0.4396      -0.701025        0.563496             0.655140         3.915229
  0.4440      -0.714050        0.366354             0.641917        10.309314
  0.4316      -0.660033        0.127620             0.514248         4.659605
  0.4238      -0.641521        0.338357             0.479140        17.864199
  0.4466      -0.736860        0.406946             0.730645         3.234096
  0.4373      -0.703074        0.623983             0.657124         9.864222
  0.4525      -0.751339        0.283975             0.733157         9.053065
  0.4454      -0.733950        0.644393             0.731107         5.288448
  0.4408      -0.713124        0.456583             0.627769         9.123025
  0.4362      -0.670479        0.479092             0.423802        15.403866
  0.4345      -0.695140        0.586090             0.627504         7.847450
  0.4430      -0.721388        0.473121             0.690380         5.594035
  0.4398      -0.689322        0.348128             0.126083         4.854094
  0.4442      -0.732496        0.169097             0.687669         8.028201
  0.4419      -0.702678        0.453993             0.445884         9.325863
  0.4320      -0.648992        0.228974             0.231868        34.587433
  0.4489      -0.741355        0.222032             0.720463         4.296157
  0.4387      -0.690050        0.377586             0.487339        18.545721
  0.4263      -0.615603        0.265434             0.178711        14.955897
  0.4375      -0.696595        0.507893             0.527934        13.295618
  0.4469      -0.750479        0.484385             0.749091         4.273332
  0.4456      -0.742083        0.281016             0.748033         2.877835
  0.4536      -0.780231        0.332123             0.806744         1.972833
  0.4410      -0.721058        0.065627             0.691769         1.570258
  0.4364      -0.709818        0.316733             0.634248         9.952112
  0.4348      -0.697190        0.861282             0.577521        58.029720
  0.4432      -0.745983        0.175373             0.744397         2.907018
  0.4399      -0.700165        0.166650             0.539702         6.750149
  0.4444      -0.726876        0.373826             0.679207         9.408329
  0.4420      -0.734612        0.303418             0.750017         2.162031
  0.4493      -0.759802        0.321193             0.768860         2.557246
  0.4325      -0.651504        0.257462             0.298909        11.343101
  0.4389      -0.660562        0.182354             0.108496         8.243436
  0.4278      -0.633719        0.502055             0.324165         6.064468
  0.4377      -0.688793        0.324875             0.544727        27.340493
  0.4472      -0.705256        0.151056             0.315306        17.071397
  0.4459      -0.750545        0.152881             0.757752         2.165364
  0.4411      -0.699769        0.181068             0.432992        46.809583
  0.4366      -0.681455        0.358435             0.379107         6.677657
  0.4551      -0.785455        0.320935             0.822545         0.929855
  0.4350      -0.694876        0.371195             0.579041        12.583582
  0.4446      -0.724959        0.399157             0.660694        12.670538
  0.4433      -0.729719        0.362517             0.710479         4.190564
  0.4401      -0.678347        0.214058             0.435901         3.696412
  0.4422      -0.714512        0.988075             0.636826        11.481819
  0.4498      -0.748231        0.390826             0.696000        12.863761
  0.4329      -0.653025        0.171726             0.364496        23.470980
  0.4390      -0.704661        0.235940             0.611702         3.924789
  0.4379      -0.691901        0.215945             0.574281         4.913554
  0.4289      -0.671669        0.359459             0.519207        34.517425
  0.4475      -0.724165        0.433384             0.598017         7.006364
  0.4461      -0.744595        0.531349             0.700099         7.996926
  0.4353      -0.660033        0.278900             0.215471         6.586690
  1.0000      -0.952860        0.013238             0.473521        26.805965
  0.4448      -0.718876        0.710875             0.580165        11.232433
  0.4413      -0.722050        0.337908             0.661157         8.739733
  0.4402      -0.733488        0.594415             0.740959         2.113242
  0.4435      -0.723835        0.297439             0.651438         9.559725
  0.4368      -0.699570        0.553973             0.612893         7.709711
  0.4424      -0.726347        0.364985             0.708099         3.559196
  0.4332      -0.647603        0.120844             0.176132        17.568569
  0.4392      -0.660826        0.119639             0.074777         4.089455
  0.4380      -0.681455        0.235385             0.435901        12.783410
  0.4503      -0.750545        0.382831             0.694413         0.806926
  0.4297      -0.632132        0.483473             0.217917        11.230589
  0.4478      -0.744793        0.482684             0.713388        11.297818
  0.4355      -0.702149        0.614234             0.608000        15.934784
  0.4414      -0.711008        1.095377             0.624529        10.659942
  0.4370      -0.694744        0.240085             0.491372        17.516770
  0.4404      -0.693289        0.248441             0.595041         8.520947
  0.4437      -0.712066        0.330886             0.642512        12.447638
  0.4336      -0.647339        0.066467             0.337653         6.076662
  0.4382      -0.685157        0.191667             0.436364         4.076359
  0.4425      -0.685620        0.675788             0.571306        13.352861
  0.4393      -0.721322        0.365312             0.714512         2.676878
  0.4304      -0.650380        0.395824             0.334744        15.253694
