    beta         energy       spec-heat           abs-magnet          suscept
  0.4450      -0.740372        0.282429             0.720272         3.509724
  0.4405      -0.707810        0.151746             0.381188         4.335490
  0.4339      -0.668971        0.310459             0.447692        12.564562
  0.4427      -0.696580        0.227975             0.169070        10.846038
  0.4439      -0.731410        0.520008             0.717932         2.905008
  0.4464      -0.756934        0.151660             0.770467         2.352286
  0.4384      -0.675193        0.112379             0.260190        27.231589
  0.4310      -0.646440        0.315512             0.179574        10.119502
  0.4481      -0.741134        0.342040             0.666485        19.691401
  0.4372      -0.685968        0.435042             0.322050        12.251086
  0.4509      -0.755592        0.240077             0.734966         2.015734
  0.4395      -0.719510        0.117394             0.672345         3.319313
  0.4357      -0.673397        0.254293             0.398748        14.062154
  0.4416      -0.695601        0.231380             0.313687        11.002383
  0.0000      -0.011338        0.000000             0.000091         0.000000
  0.4452      -0.729796        0.418119             0.643501        27.289661
  0.4342      -0.662966        0.181651             0.291973        13.791841
  0.4407      -0.702712        0.632147             0.467846        39.425179
  0.4440      -0.722068        0.528636             0.667900         6.768569
  0.4428      -0.709986        0.251808             0.586485         5.865623
  0.4466      -0.745560        0.243676             0.748553         1.217997
  0.4517      -0.749551        0.298896             0.648435         8.561569
  0.4316      -0.655927        0.337470             0.077388         8.035679
  0.4385      -0.705488        0.367832             0.607964         7.075000
  0.4417      -0.704290        0.133862             0.534204         6.936304
  0.4360      -0.674304        0.244836             0.064290        19.987878
  0.4373      -0.696961        0.296896             0.589605         6.708714
  0.4396      -0.702422        0.544032             0.565116         7.710126
  0.4485      -0.753905        0.272817             0.760472         3.191925
  0.4238      -0.624091        0.415309             0.116807         6.773850
  0.4345      -0.674540        0.420057             0.524662        11.180223
  0.4442      -0.711873        0.332516             0.452807        36.579892
  0.4454      -0.737052        0.386626             0.722195         2.964003
  0.4362      -0.690304        0.871360             0.564517         9.688142
  0.4430      -0.727383        0.324664             0.706993         3.721961
  0.4525      -0.770667        0.468043             0.785832         2.308569
  0.4408      -0.717315        0.091003             0.665016         4.008725
  0.4469      -0.745288        0.327219             0.699356         4.015956
  0.4320      -0.666376        0.370565             0.425179        27.221228
  0.4375      -0.697524        0.481104             0.548753        11.319344
  0.4387      -0.696762        0.672691             0.582240        27.253735
  0.4398      -0.726440        0.266589             0.713415         1.254942
  0.4419      -0.724209        0.320432             0.675265         5.004068
  0.4489      -0.745469        0.239510             0.733878         2.637307
  0.4263      -0.633234        0.315547             0.137342        11.395097
  0.4364      -0.679764        0.170832             0.406803         4.656179
  0.4444      -0.726385        0.456059             0.659048         3.843276
  0.4456      -0.747519        0.360343             0.735946         3.239225
  0.4410      -0.697197        0.168358             0.354122         5.137306
  0.4432      -0.714957        0.251153             0.577179        19.878073
  0.4348      -0.679601        0.249875             0.491664        23.261128
  0.4536      -0.767420        0.392255             0.773170         3.865302
  0.4399      -0.706957        0.259848             0.517986        26.691431
  0.4377      -0.681179        0.385931             0.188898         7.887316
  0.4493      -0.752200        0.740209             0.727565         8.097335
  0.4389      -0.721923        0.297520             0.637533         6.012015
  0.4472      -0.736816        0.088812             0.696254         0.671748
  0.4325      -0.650358        0.414357             0.142422        11.064776
  0.4420      -0.726095        0.324538             0.667302         9.877196
  0.4278      -0.648454        0.249973             0.417143         5.557308
  0.4366      -0.676354        0.382785             0.346993        16.067654
  0.4459      -0.718766        0.281795             0.097959        12.587740
  0.4411      -0.707356        0.723873             0.607311        16.647355
  0.4446      -0.738032        0.359897             0.742785         3.318619
  0.4422      -0.727238        0.465581             0.686331         9.529682
  0.4433      -0.727420        0.160513             0.694331         3.299667
  0.4350      -0.665615        0.431862             0.381587         8.818128
  0.4401      -0.713107        0.396831             0.623147        11.929810
  0.4329      -0.662785        0.220744             0.362957         9.829367
  0.4475      -0.748481        0.294027             0.731937         3.220987
  0.4390      -0.695510        0.523140             0.528054         2.740067
  0.4551      -0.775093        0.376638             0.798150         4.837210
  0.4498      -0.756971        0.202322             0.759347         3.076175
  0.4379      -0.702621        0.670397             0.616399         8.905659
  0.4289      -0.642522        0.231994             0.095619         7.760761
  0.4368      -0.684354        0.280317             0.185161         8.289983
  0.4461      -0.737179        0.276427             0.661442         8.158039
  0.4448      -0.710186        0.195851             0.515120        20.336838
  0.4353      -0.668154        0.130936             0.179810        15.582399
  0.4424      -0.724227        0.569370             0.688544        12.058442
  0.4413      -0.716844        0.133021             0.648998         3.351884
  0.4435      -0.718966        0.390440             0.638712        14.581747
  0.4332      -0.676626        0.252818             0.325424        10.657033
  0.4402      -0.717478        0.252438             0.641252         7.926432
  1.0000      -0.972825        0.012158             0.290939         8.885265
  0.4297      -0.654531        0.658223             0.298050         6.143428
  0.4503      -0.770721        0.169044             0.792544         1.578733
  0.4478      -0.746649        0.155704             0.749279         2.080492
  0.4392      -0.682413        0.350515             0.366367         3.528915
  0.4380      -0.686259        0.397815             0.324753        13.930408
  0.4370      -0.669624        0.440185             0.094531        10.815777
  0.4355      -0.673270        0.213507             0.333986         5.543080
  0.4425      -0.722685        0.674741             0.645224         6.968808
  0.4414      -0.717787        0.156971             0.631311         3.679888
  0.4437      -0.728472        0.292503             0.673941        11.578405
  0.4336      -0.665034        0.761006             0.353270        44.538327
  0.4404      -0.713215        0.411293             0.653678        18.543032
  0.4304      -0.644934        0.217291             0.346431        20.870634
  0.4393      -0.687256        0.401103             0.424290         9.668843
  0.4382      -0.675211        0.326128             0.183800        23.674657
