    beta         energy       spec-heat           abs-magnet          suscept
  0.4384      -0.692793        0.466371             0.630293         7.444971
  0.4427      -0.731441        0.192768             0.735842         2.845765
  0.4405      -0.719834        0.284511             0.684311         4.168370
  0.4509      -0.757143        0.547970             0.771684         3.213892
  0.4339      -0.687309        0.180269             0.590242         4.212248
  0.4357      -0.721684        0.287064             0.709439         2.817211
  0.4395      -0.713074        0.199790             0.563074        14.394483
  0.0000       0.008291        0.000000             0.000638         0.000000
  0.4450      -0.734885        0.230525             0.714222         3.001401
  0.4481      -0.746046        0.108482             0.753699         1.128052
  0.4310      -0.630038        0.230052             0.058929         3.218011
  0.4439      -0.727105        0.347080             0.675191        11.821851
  0.4416      -0.682526        0.559512             0.269260        57.198559
  0.4464      -0.739541        0.466529             0.741135         8.343312
  0.4372      -0.688138        0.179836             0.555038         9.172170
  0.4428      -0.736097        0.447956             0.731059         5.971190
  0.4407      -0.668176        0.216832             0.125829        17.309954
  0.4385      -0.659184        0.272289             0.297704        35.081306
  0.4517      -0.766454        0.105340             0.788776         0.865908
  0.4452      -0.734821        0.619504             0.709311         8.276299
  0.4360      -0.683355        0.457966             0.445026         9.996614
  0.4342      -0.655612        0.297547             0.208482         3.537920
  0.4396      -0.710204        0.463260             0.664987        11.074421
  0.4238      -0.663712        0.342125             0.552360        26.076104
  0.4440      -0.715434        0.122996             0.570026        15.588084
  0.4316      -0.674681        0.194777             0.518559         5.797389
  0.4485      -0.746492        0.720231             0.746939         3.601428
  0.4417      -0.717793        0.318824             0.603444         9.906481
  0.4466      -0.760204        0.211508             0.788265         0.251538
  0.4373      -0.679082        0.541360             0.433227        17.098658
  0.4430      -0.719898        0.603096             0.651594         8.385174
  0.4408      -0.683992        0.176063             0.469452         5.917112
  0.4525      -0.761990        0.779137             0.775510         4.417030
  0.4362      -0.656696        0.259644             0.194707        18.633166
  0.4387      -0.707908        0.533284             0.684630         5.628336
  0.4398      -0.671237        0.315347             0.265115        44.415100
  0.4345      -0.692347        0.566509             0.616390         8.840519
  0.4454      -0.742156        0.231075             0.730293         6.885773
  0.4442      -0.715497        0.261904             0.617730        19.845015
  0.4489      -0.735140        0.284155             0.594707         5.874705
  0.4263      -0.629209        0.346172             0.089668        14.775881
  0.4320      -0.662245        0.429267             0.329911        40.724331
  0.4419      -0.724107        0.350979             0.680038         5.380651
  0.4469      -0.727487        0.407342             0.682334         6.009080
  0.4375      -0.719515        0.245559             0.704719         6.633312
  0.4410      -0.728253        0.299335             0.713074         6.099992
  0.4432      -0.728253        0.356638             0.720153         6.392258
  0.4364      -0.702296        0.595763             0.606952        16.213042
  0.4536      -0.761161        0.487984             0.739541         5.868448
  0.4389      -0.700064        0.476191             0.632972         7.023201
  0.4399      -0.694452        0.287432             0.622258         9.271578
  0.4348      -0.669962        0.264409             0.324107         9.158980
  0.4456      -0.729528        0.492690             0.707334         8.895216
  0.4444      -0.761097        0.262615             0.785523         1.074118
  0.4493      -0.755230        0.298193             0.767474         1.840885
  0.4325      -0.648151        0.117963             0.225319        12.560203
  0.4278      -0.664796        0.518113             0.547895         6.820137
  0.4420      -0.739477        0.383739             0.752487         2.683549
  0.4472      -0.746046        0.143159             0.756696         0.409178
  0.4377      -0.701276        0.337820             0.636097         9.268249
  0.4411      -0.734949        0.241773             0.735459         2.403718
  0.4433      -0.723214        0.394265             0.682398         5.572999
  0.4551      -0.771237        0.309212             0.788712         3.433521
  0.4366      -0.690242        0.276934             0.621492         1.356167
  0.4401      -0.691582        0.347454             0.533673        25.774362
  0.4350      -0.676594        0.344120             0.481633         4.741386
  0.4390      -0.673406        0.428919             0.460140         8.443686
  0.4459      -0.741837        0.250744             0.720026         4.156790
  0.4446      -0.745408        0.438693             0.744133         4.174525
  0.4329      -0.646684        0.171767             0.212883        30.937379
  0.4289      -0.653827        0.220713             0.378954        10.803355
  0.4498      -0.753571        0.214664             0.760459         2.384440
  0.4422      -0.719133        0.589859             0.682526         5.135459
  0.4475      -0.741518        0.345186             0.695982         2.978966
  0.4379      -0.677168        0.363064             0.257015         5.114150
  0.4413      -0.730676        0.584315             0.708291         7.211088
  0.4435      -0.742985        0.302240             0.732270         6.101719
  1.0000      -0.948087        0.006293             0.591327         2.258730
  0.4368      -0.731888        0.265025             0.736288         2.248277
  0.4402      -0.723214        0.092619             0.642538         4.803707
  0.4392      -0.727360        0.237055             0.713584         3.366026
  0.4353      -0.657526        0.270328             0.248980        10.456486
  0.4448      -0.725574        0.423842             0.698980         8.591332
  0.4461      -0.753827        0.485011             0.761862         3.841648
  0.4332      -0.645281        0.359426             0.204145         7.944669
  0.4503      -0.760523        0.200232             0.760778         3.960297
  0.4297      -0.633801        0.267185             0.189732         9.615404
  0.4424      -0.726212        0.558099             0.685332        22.308523
  0.4478      -0.729209        0.849991             0.602551        35.594529
  0.4380      -0.704656        0.695685             0.657079         7.498035
  0.4414      -0.732781        0.367033             0.722258         3.409287
  0.4370      -0.656122        0.356322             0.126084        12.375375
  0.4437      -0.721429        0.396818             0.702551         5.033561
  0.4404      -0.668878        0.625954             0.261416        65.921331
  0.4393      -0.728571        0.142632             0.687372        11.814049
  0.4355      -0.681441        0.428044             0.327934        11.955302
  0.4336      -0.694260        0.591648             0.637755         7.968433
  0.4425      -0.668814        0.467746             0.311480        11.313228
  0.4304      -0.628508        0.365716             0.122194         7.651810
  0.4382      -0.705230        0.178079             0.582143         8.260781
