    beta         energy       spec-heat           abs-magnet          suscept
  0.4416      -0.735720        0.140978             0.700365         1.826842
  0.4481      -0.757633        0.250283             0.784076         0.809132
  0.4464      -0.761724        0.404057             0.799854         1.545313
  0.4509      -0.759386        0.334720             0.702703        18.461631
  0.4310      -0.655953        0.261807             0.387436        37.424893
  0.0000      -0.019722        0.000000             0.047480         0.000000
  0.4384      -0.658875        0.220508             0.364354         5.042970
  0.4395      -0.704164        0.577152             0.658437         5.851100
  0.4339      -0.696859        0.511743             0.597370        13.519791
  0.4357      -0.693061        0.767947             0.622936         8.418115
  0.4372      -0.653616        0.078848             0.181446         7.665470
  0.4450      -0.697151        0.699719             0.518627         8.518504
  0.4439      -0.730168        0.773012             0.670855         8.798045
  0.4405      -0.732798        0.343941             0.746822         1.156187
  0.4427      -0.718773        0.446514             0.704164         6.240469
  0.4417      -0.733236        0.066417             0.718188         1.608913
  0.4485      -0.760701        0.745082             0.781300         4.115080
  0.4316      -0.670270        0.263037             0.548722         2.026942
  0.4373      -0.665888        0.204418             0.226297        27.658509
  0.4396      -0.686340        0.738161             0.531191        10.996602
  0.4517      -0.775164        0.173044             0.761724         2.850038
  0.4360      -0.685610        0.836395             0.645873         7.067013
  0.4385      -0.715559        0.285579             0.701972         2.965272
  0.4428      -0.734551        0.173305             0.740102         2.544814
  0.4440      -0.743024        0.303596             0.750329         1.503101
  0.4238      -0.604383        0.246402             0.131483         4.782397
  0.4466      -0.697589        0.399416             0.457852        20.874225
  0.4407      -0.721402        0.862761             0.698028         6.275858
  0.4452      -0.718773        0.608124             0.723886         4.095568
  0.4342      -0.649817        0.291717             0.151644         4.619949
  0.4419      -0.749014        0.438665             0.767860         2.260495
  0.4489      -0.754565        0.248852             0.772389         3.351211
  0.4320      -0.700365        0.339540             0.683126         3.192253
  0.4398      -0.690723        0.658678             0.543024        10.095314
  0.4375      -0.679182        0.310872             0.573996         5.346700
  0.4362      -0.685172        0.521424             0.574726        10.812794
  0.4387      -0.636669        0.375385             0.216508        11.767199
  0.4525      -0.765668        0.131388             0.800877         0.601165
  0.4430      -0.753689        0.137263             0.748722         1.547797
  0.4408      -0.720672        0.352276             0.717166         2.690945
  0.4442      -0.743608        0.132772             0.765376         0.512312
  0.4345      -0.647480        0.143785             0.184368         9.894238
  0.4469      -0.739080        0.345595             0.716289         3.943828
  0.4454      -0.728707        0.201868             0.706501         5.019962
  0.4263      -0.610226        0.224733             0.120088         5.429281
  0.4420      -0.744339        0.228126             0.754711         1.305503
  0.4325      -0.646896        0.458822             0.224105        22.675144
  0.4493      -0.752520        0.501179             0.784222         2.807196
  0.4377      -0.729584        0.444499             0.721110         6.661047
  0.4364      -0.683272        0.465114             0.583346         6.683021
  0.4399      -0.664427        0.265039             0.244850         7.310468
  0.4389      -0.679328        0.388563             0.421329        18.963671
  0.4444      -0.732652        0.373036             0.743024         2.620481
  0.4410      -0.721695        0.527328             0.663696        14.584239
  0.4456      -0.725493        0.138033             0.723156         1.486487
  0.4432      -0.703725        0.292636             0.609496         4.782396
  0.4348      -0.718627        0.438528             0.706355         6.063256
  0.4536      -0.773850        0.326884             0.790504         2.839853
  0.4472      -0.756172        0.268687             0.766545         1.868617
  0.4278      -0.684149        0.612817             0.538934        12.043047
  0.4422      -0.722571        0.583723             0.730314         6.343162
  0.4329      -0.652885        0.099913             0.329438        27.977560
  0.4401      -0.658729        0.404826             0.311176         7.282344
  0.4366      -0.711176        0.432409             0.657122        11.877346
  0.4390      -0.722571        0.268108             0.718627         1.047046
  0.4498      -0.765814        0.545577             0.772535         7.992716
  0.4459      -0.754127        0.311092             0.701096         6.392002
  0.4379      -0.732067        0.403490             0.735866         4.482591
  0.4411      -0.736596        0.213419             0.737473         2.816757
  0.4433      -0.685026        0.146148             0.408327        10.045655
  0.4446      -0.745946        0.477890             0.757049         3.776497
  0.4350      -0.698758        0.119776             0.628926         3.253322
  0.4551      -0.790358        0.121873             0.822060         0.756117
  0.4475      -0.741271        0.525297             0.742148         7.363581
  0.4289      -0.683565        0.198736             0.650548         2.009844
  0.4424      -0.726516        0.115215             0.670562         6.727431
  0.4435      -0.726662        0.346934             0.613148        22.894577
  0.4413      -0.700657        0.180740             0.554419        14.338940
  0.4392      -0.696567        0.620646             0.575018        11.073713
  0.4461      -0.736158        0.520391             0.729438         3.816473
  1.0000      -0.998831        0.003117             0.999416         0.000779
  0.4448      -0.731045        0.697209             0.740102         2.838799
  0.4402      -0.739956        0.317619             0.761432         1.655057
  0.4332      -0.685902        0.509792             0.609350         5.637935
  0.4353      -0.669540        0.178959             0.479766         5.082415
  0.4368      -0.735135        0.240433             0.693207        10.533901
  0.4380      -0.702118        0.406577             0.658875         6.544778
  0.4503      -0.760117        0.377369             0.794010         1.894773
  0.4297      -0.694522        0.825541             0.650694        10.237687
  0.4478      -0.731921        0.496987             0.727392         1.715772
  0.4425      -0.745800        0.111763             0.745654         2.330347
  0.4437      -0.735427        0.747781             0.734989         8.096859
  0.4414      -0.709569        0.431432             0.688532         3.783961
  0.4404      -0.690869        0.346824             0.573557         8.170364
  0.4370      -0.673776        0.364745             0.423375        26.888814
  0.4304      -0.698904        0.503964             0.581008        20.551987
  0.4355      -0.704018        0.336586             0.627173         9.205261
  0.4336      -0.663258        0.183371             0.475968        11.666101
  0.4382      -0.688532        0.734966             0.569321        29.056822
  0.4393      -0.737619        0.270964             0.745508         1.693773
