    beta         energy       spec-heat           abs-magnet          suscept
  0.4464      -0.752960        0.343857             0.754448         3.404661
  0.4357      -0.699288        0.218470             0.586524         4.844519
  0.4509      -0.750154        0.221221             0.734935         3.783777
  0.4450      -0.749857        0.487913             0.756042         3.558562
  0.4372      -0.698714        0.918316             0.567244        24.689779
  0.4439      -0.725050        0.275088             0.646062         1.658142
  0.4416      -0.726071        0.449429             0.677033        11.766462
  0.4405      -0.711829        0.193852             0.610607        20.825044
  0.0000      -0.002019        0.000000             0.006058         0.000000
  0.4427      -0.716229        0.176986             0.587119        12.000906
  0.4384      -0.691019        0.133894             0.482389         5.361864
  0.4339      -0.683452        0.194472             0.442470        27.173553
  0.4395      -0.691083        0.437260             0.481539        12.046289
  0.4481      -0.753109        0.544484             0.759634         7.538588
  0.4310      -0.672781        0.302515             0.538208        10.198767
  0.4452      -0.734021        0.527753             0.712042         5.557805
  0.4238      -0.624338        0.192373             0.097715         8.014479
  0.4360      -0.683707        0.259215             0.486385        19.083264
  0.4440      -0.716782        0.334618             0.612626         8.124255
  0.4517      -0.750834        0.341802             0.725901         5.100592
  0.4407      -0.685875        0.197832             0.073228         8.873666
  0.4396      -0.678478        0.453180             0.359826        17.974820
  0.4417      -0.681475        0.399397             0.364630        61.151523
  0.4466      -0.718971        0.373702             0.621766        11.992787
  0.4428      -0.727474        0.107389             0.674439         4.856254
  0.4342      -0.660240        0.734958             0.176533        43.728750
  0.4316      -0.653672        0.141999             0.285110        26.661484
  0.4485      -0.739824        0.306785             0.667829         5.092346
  0.4373      -0.720650        0.664125             0.680540         6.121752
  0.4385      -0.725561        0.376470             0.715336         3.329784
  0.4442      -0.738973        0.254095             0.725837         4.739559
  0.4454      -0.734765        0.222535             0.708131         4.172113
  0.4362      -0.671867        0.210765             0.343713        10.678663
  0.4430      -0.726942        0.131306             0.710575         3.055376
  0.4525      -0.756000        0.287477             0.760145         3.095931
  0.4345      -0.687746        0.371098             0.575045         8.366556
  0.4408      -0.711808        0.392172             0.592985        12.490031
  0.4469      -0.729791        0.584055             0.647168        26.830817
  0.4419      -0.707918        0.363760             0.555957         8.121917
  0.4263      -0.650781        0.139639             0.327367        27.530770
  0.4398      -0.707493        0.491083             0.625529        10.002203
  0.4320      -0.665363        0.105386             0.323584        30.444550
  0.4375      -0.706898        0.289261             0.555702         5.892239
  0.4387      -0.714762        0.441400             0.659879        12.643698
  0.4489      -0.752577        0.415969             0.760676         2.828882
  0.4364      -0.694101        0.394036             0.569263         6.522180
  0.4456      -0.736911        0.475652             0.715719         5.972132
  0.4444      -0.742013        0.431358             0.727495         6.346120
  0.4432      -0.722096        0.320695             0.641322         4.682344
  0.4536      -0.768796        0.289999             0.780380         1.609330
  0.4348      -0.699734        0.116482             0.656712         5.143640
  0.4410      -0.722308        0.173931             0.671846         8.686716
  0.4420      -0.714167        0.219275             0.586672        17.065652
  0.4278      -0.633904        0.178820             0.060942         6.938000
  0.4472      -0.742927        0.575608             0.749538         3.446452
  0.4399      -0.699586        0.618108             0.584377         8.937014
  0.4377      -0.697439        0.537186             0.495334        11.588403
  0.4493      -0.761569        0.123787             0.776342         0.944562
  0.4325      -0.673972        0.569960             0.454097         4.709499
  0.4389      -0.693846        0.101564             0.070762         8.756810
  0.4459      -0.736996        0.206294             0.691742         1.933412
  0.4446      -0.740950        0.566147             0.721267         7.868507
  0.4366      -0.684175        0.317340             0.270337         8.625111
  0.4433      -0.718610        0.734148             0.639622        21.284569
  0.4350      -0.677500        0.175843             0.378127        15.669713
  0.4551      -0.780742        0.219095             0.802551         2.430023
  0.4401      -0.690743        0.223909             0.258136         9.156334
  0.4422      -0.713275        0.639746             0.659305        22.497453
  0.4411      -0.730450        0.450206             0.706621         1.451536
  0.4289      -0.647635        0.077077             0.251461        14.293472
  0.4475      -0.748156        0.284932             0.758061         2.584898
  0.4379      -0.674121        0.269709             0.102434        11.558054
  0.4498      -0.752173        0.390983             0.747455         5.236455
  0.4329      -0.666043        0.283777             0.199256        23.079475
  0.4390      -0.712871        0.260478             0.664236         8.441895
  0.4461      -0.742714        0.388945             0.754448         3.118126
  0.4368      -0.679307        0.109308             0.476246         5.220097
  0.4353      -0.668700        0.305544             0.129727        19.625103
  1.0000      -0.998172        0.010033             0.999043         0.002858
  0.4435      -0.729366        0.162185             0.689276         3.752643
  0.4448      -0.737315        0.416146             0.712807         4.335064
  0.4402      -0.705707        0.861889             0.633967         9.138691
  0.4297      -0.646764        0.473710             0.259347        49.784033
  0.4424      -0.735487        0.459119             0.720417         6.886163
  0.4478      -0.746923        0.299610             0.750218         7.590334
  0.4413      -0.696822        0.353885             0.397917        12.819774
  0.4380      -0.677989        0.115423             0.085471        12.290884
  0.4392      -0.667446        0.203896             0.033712         2.376277
  0.4503      -0.749304        0.467530             0.752790         3.695575
  0.4332      -0.674864        0.377418             0.264215        12.583856
  0.4370      -0.693527        0.189634             0.481603        15.588688
  0.4355      -0.677075        0.261650             0.411181        12.748666
  0.4437      -0.722330        0.182643             0.477415        31.349184
  0.4404      -0.697120        0.362931             0.494144        25.263026
  0.4304      -0.670656        0.606293             0.484536        30.251987
  0.4425      -0.690573        0.264918             0.249740        28.055117
  0.4414      -0.699734        0.435445             0.584143        26.534423
  0.4382      -0.690254        0.531107             0.488150        11.675236
  0.4393      -0.682708        0.473403             0.439664         3.845237
  0.4336      -0.662238        0.100807             0.161271        40.936840
