    beta         energy       spec-heat           abs-magnet          suscept
  0.4481      -0.721107        0.734694             0.661207        10.981387
  0.4339      -0.651211        0.518411             0.256978         3.587626
  0.4357      -0.675279        0.828132             0.480738        52.522014
  0.4310      -0.674817        0.361057             0.558016        13.695899
  0.4384      -0.703114        0.297005             0.644214         9.214680
  0.4450      -0.718877        0.236130             0.647366         2.743818
  0.4427      -0.733564        0.345384             0.739100         2.867915
  0.0000      -0.005767        0.000000             0.002691         0.000000
  0.4464      -0.686044        0.396208             0.185621        17.706072
  0.4416      -0.715725        0.400185             0.677124         9.235319
  0.4439      -0.709727        0.515410             0.555786        32.543379
  0.4395      -0.698424        0.671531             0.515955        28.101152
  0.4509      -0.751865        0.282434             0.763552         2.940931
  0.4405      -0.729181        0.572895             0.734102         3.339237
  0.4372      -0.704729        0.593661             0.650673         4.475632
  0.4485      -0.762245        0.044188             0.763168         1.378541
  0.4360      -0.689965        0.272976             0.517032         6.482315
  0.4316      -0.664821        0.443427             0.410381        20.740579
  0.4385      -0.722338        0.241231             0.701576         3.752623
  0.4440      -0.761015        0.332113             0.760092        10.589963
  0.4407      -0.691503        0.340594             0.435909        34.982229
  0.4396      -0.711803        0.375822             0.635140         6.459918
  0.4342      -0.690811        0.304786             0.653672         3.930538
  0.4466      -0.744022        0.200237             0.732488         1.349931
  0.4452      -0.739639        0.443966             0.718416         7.764125
  0.4238      -0.630911        0.203607             0.117109         3.422310
  0.4373      -0.684737        0.326820             0.446444        42.847224
  0.4517      -0.754018        0.449066             0.746790         2.420272
  0.4417      -0.744022        0.239104             0.750788         2.482079
  0.4428      -0.742407        0.225922             0.748789         2.048546
  0.4362      -0.665359        0.120395             0.311496         5.707373
  0.4387      -0.705729        0.199486             0.641522         8.313383
  0.4408      -0.706190        0.430196             0.585621         9.985357
  0.4320      -0.683583        0.128686             0.607382         4.357238
  0.4489      -0.735409        0.091207             0.699423         6.818167
  0.4345      -0.667282        0.359030             0.497809        15.472116
  0.4398      -0.725567        0.303881             0.678354         7.730772
  0.4442      -0.734794        0.474389             0.720877         6.980763
  0.4469      -0.750481        0.265304             0.748943         4.161584
  0.4454      -0.735717        0.132965             0.717955         4.875034
  0.4263      -0.650596        0.304729             0.420761         3.435822
  0.4430      -0.714802        0.269580             0.660823        10.601413
  0.4375      -0.703191        0.136462             0.627912         9.912998
  0.4525      -0.775163        0.418285             0.810150         1.126671
  0.4419      -0.718877        0.514463             0.667743        11.689693
  0.4364      -0.687351        0.327089             0.550096         5.491803
  0.4410      -0.709881        0.262585             0.656978         5.095609
  0.4493      -0.767320        0.273586             0.801538         1.316202
  0.4325      -0.643599        0.299419             0.077970         3.738069
  0.4399      -0.725798        0.297856             0.725952         6.974203
  0.4348      -0.710496        0.326159             0.676048         3.816088
  0.4444      -0.738255        0.344642             0.743099         2.307367
  0.4456      -0.743868        0.511705             0.730104         9.055470
  0.4472      -0.717647        0.388891             0.624068        14.717571
  0.4377      -0.704344        0.088664             0.632757         4.448721
  0.4389      -0.700346        0.502002             0.642061        10.463413
  0.4432      -0.720723        0.608957             0.659439         7.189213
  0.4278      -0.644291        0.253971             0.088504         6.110194
  0.4536      -0.769473        0.207491             0.797847         1.674732
  0.4420      -0.687428        0.110538             0.416917        19.438903
  0.4498      -0.764783        0.143227             0.788620         2.468807
  0.4329      -0.639600        0.389864             0.246367        13.640857
  0.4401      -0.712803        0.498285             0.655978        13.262077
  0.4411      -0.701346        0.655086             0.632757        11.164707
  0.4366      -0.644214        0.701661             0.152787         3.896320
  0.4350      -0.694118        1.190800             0.622760        24.814845
  0.4289      -0.616532        0.110501             0.110957         8.436064
  0.4390      -0.701807        0.210561             0.567090        13.253690
  0.4379      -0.678970        0.213882             0.447290         5.397946
  0.4433      -0.726644        0.435681             0.695886         6.153761
  0.4446      -0.752480        0.178911             0.766013         1.027132
  0.4459      -0.736255        0.626476             0.730181         7.354346
  0.4475      -0.746021        0.232661             0.757478         2.341740
  0.4551      -0.789542        0.158556             0.811842         0.899129
  0.4422      -0.759400        0.218087             0.760861         2.428090
  0.4368      -0.678431        0.354653             0.470204        33.083079
  0.4332      -0.693118        0.251481             0.655440         4.532035
  0.4402      -0.717647        0.312015             0.702807         5.869716
  0.4503      -0.766398        0.569490             0.768704         3.276243
  0.4380      -0.663899        0.253406             0.211303        11.852695
  0.4353      -0.678970        0.176579             0.536101         4.192855
  0.4297      -0.647905        0.336256             0.340408        33.511216
  0.4413      -0.703191        0.429382             0.594617        16.349659
  0.4461      -0.687812        0.095830             0.220761         4.090918
  1.0000      -0.997847        0.007108             0.998923         0.001777
  0.4448      -0.729027        0.277768             0.658747         7.072785
  0.4435      -0.746713        0.220903             0.752787         2.797227
  0.4392      -0.683891        0.100481             0.443291        12.665129
  0.4478      -0.705190        0.187844             0.283122        11.155432
  0.4424      -0.683660        0.827852             0.433987        53.373011
  0.4370      -0.708189        0.313623             0.660285         5.175239
  0.4404      -0.711265        0.493663             0.639908         4.428073
  0.4336      -0.649596        0.383235             0.188312        11.431543
  0.4382      -0.689043        0.173785             0.582391         4.329813
  0.4355      -0.715417        0.330854             0.676509         1.992129
  0.4414      -0.728489        0.708741             0.708958         8.399670
  0.4437      -0.716032        0.181913             0.678124         2.627884
  0.4393      -0.696732        0.138660             0.625452         5.210933
  0.4304      -0.657363        0.551928             0.422068         7.571743
  0.4425      -0.743406        0.591194             0.714110        11.608862
