-0.976855	0.000070
-0.961816	0.000160
-0.946777	0.000660
-0.931738	0.002100
-0.916699	0.003760
-0.901660	0.007110
-0.886621	0.012580
-0.871582	0.019040
-0.856543	0.026630
-0.841504	0.036030
-0.826465	0.044680
-0.811426	0.053520
-0.796387	0.059480
-0.781348	0.031630
-0.766309	0.067030
-0.751270	0.068640
-0.736230	0.071110
-0.721191	0.067200
-0.706152	0.063740
-0.691113	0.058470
-0.676074	0.053470
-0.661035	0.047800
-0.645996	0.042700
-0.630957	0.036810
-0.615918	0.031020
-0.600879	0.025600
-0.585840	0.011170
-0.570801	0.016970
-0.555762	0.013140
-0.540723	0.009140
-0.525684	0.006760
-0.510645	0.004830
-0.495605	0.003130
-0.480566	0.002040
-0.465527	0.000880
-0.450488	0.000450
-0.435449	0.000250
-0.420410	0.000110
-0.405371	0.000050
-0.390332	0.000010
