-0.904468	0.002110
-0.857935	0.026370
-0.811401	0.072220
-0.764868	0.087180
-0.718335	0.075810
-0.671802	0.055790
-0.625269	0.041790
-0.578735	0.030420
-0.532202	0.021740
-0.485669	0.016680
-0.439136	0.012750
-0.392603	0.009400
-0.346069	0.008380
-0.299536	0.006340
-0.253003	0.005360
-0.206470	0.004880
-0.159937	0.004260
-0.113403	0.004280
-0.066870	0.004110
-0.020337	0.004400
0.026196	0.004020
0.072729	0.004480
0.119263	0.003910
0.165796	0.004590
0.212329	0.005070
0.258862	0.005320
0.305396	0.007200
0.351929	0.008780
0.398462	0.009420
0.444995	0.013170
0.491528	0.017420
0.538062	0.023920
0.584595	0.031440
0.631128	0.044820
0.677661	0.059260
0.724194	0.081450
0.770728	0.089840
0.817261	0.068220
0.863794	0.022170
0.910327	0.001220
