L        beta       energy       spec-heat    abs-magnet   suscept
017      0.4590      -0.786713        0.320968             0.812457         2.524079
017      0.4742      -0.828789        0.197017             0.871211         0.581786
017      0.3626      -0.455363        0.127537             0.198616         2.106526
017      0.3911      -0.539792        0.211894             0.329066         4.557313
017      0.4107      -0.623183        0.362131             0.467682         6.978862
017      0.2719      -0.313910        0.045751             0.111211         0.557245
017      0.4271      -0.671626        0.386986             0.625467         4.889044
017      0.4974      -0.877924        0.161697             0.914948         0.318803
017      0.4437      -0.738685        0.416516             0.749481         2.969358
017      0.5271      -0.912042        0.138757             0.946367         0.152295
017      0.4760      -0.829135        0.239543             0.867543         0.911218
017      0.4606      -0.802422        0.266375             0.839377         1.137000
017      0.2965      -0.346021        0.082529             0.125398         0.802774
017      0.3933      -0.544775        0.191287             0.306367         4.392993
017      0.4452      -0.748304        0.361736             0.766367         1.986698
017      0.3662      -0.475225        0.144884             0.237163         2.670306
017      0.4779      -0.832388        0.336194             0.859100         2.687427
017      0.4286      -0.676678        0.481304             0.623806         6.888221
017      0.5000      -0.867751        0.188151             0.909343         0.336426
017      0.4125      -0.609965        0.318246             0.472595         6.569419
017      0.4622      -0.790934        0.416271             0.802422         3.117750
017      0.3955      -0.549412        0.273338             0.370519         4.874086
017      0.4301      -0.666367        0.464171             0.573979         8.241336
017      0.5027      -0.887128        0.165735             0.921315         0.287107
017      0.3115      -0.372249        0.083696             0.144014         0.899351
017      0.5318      -0.909204        0.171889             0.939377         0.233198
017      0.4798      -0.833010        0.264232             0.876540         0.595914
017      0.4467      -0.758547        0.316274             0.770727         2.768605
017      0.3696      -0.487682        0.161513             0.251003         2.648111
017      0.4142      -0.615225        0.306515             0.492664         5.929197
017      0.4639      -0.807751        0.279543             0.835502         1.357408
017      0.3224      -0.393633        0.083347             0.143322         1.095219
017      0.4818      -0.846228        0.205974             0.886920         0.534976
017      0.5372      -0.915502        0.167698             0.946228         0.180977
017      0.5055      -0.882076        0.175566             0.922007         0.278019
017      0.4317      -0.674464        0.478697             0.606367         7.035040
017      0.4159      -0.614394        0.351467             0.466298         7.469383
017      0.4655      -0.803460        0.263147             0.845121         0.974231
017      0.4482      -0.745190        0.409267             0.746713         4.457311
017      0.3976      -0.564775        0.283732             0.375502         5.885206
017      0.4838      -0.851142        0.199846             0.891211         0.596723
017      0.3728      -0.497093        0.133476             0.258893         3.339555
017      0.5433      -0.927612        0.115166             0.956263         0.106623
017      0.4672      -0.808927        0.217501             0.841453         0.986147
017      0.4497      -0.761246        0.424373             0.756747         4.938440
017      0.3310      -0.400830        0.071527             0.142353         1.160258
017      0.5085      -0.888997        0.187929             0.923875         0.349227
017      0.4175      -0.630173        0.438853             0.530450         7.973579
017      0.3758      -0.493218        0.150402             0.233910         2.697107
017      0.3996      -0.567266        0.223965             0.383945         4.795119
017      0.5117      -0.887682        0.170521             0.923391         0.269896
017      0.4332      -0.682837        0.433172             0.633702         6.751842
017      0.3381      -0.433080        0.123324             0.171142         1.543048
017      0.5504      -0.924637        0.105365             0.953772         0.092321
017      0.4859      -0.853426        0.193110             0.891903         0.649514
017      0.4689      -0.817993        0.260994             0.862699         0.720270
017      0.4512      -0.771488        0.388622             0.789273         2.201226
017      0.4192      -0.644429        0.429741             0.545190         7.367173
017      0.5590      -0.928166        0.099316             0.954948         0.113392
017      0.4016      -0.555087        0.254123             0.369896         5.332458
017      0.5151      -0.896055        0.176147             0.933841         0.219848
017      0.3442      -0.430035        0.145194             0.189204         1.514258
017      0.3787      -0.487543        0.176490             0.246228         3.152019
017      0.4528      -0.764014        0.353061             0.775502         2.879539
017      0.4347      -0.694118        0.511057             0.626436         6.937836
017      0.5698      -0.937509        0.138144             0.961107         0.131736
017      0.4208      -0.660623        0.458064             0.598962         5.927509
017      0.4706      -0.812042        0.207946             0.850796         0.848946
017      0.4880      -0.856817        0.204361             0.896747         0.435941
017      0.4035      -0.589135        0.272370             0.420969         5.968026
017      0.3814      -0.504152        0.237147             0.265121         4.750982
017      0.4362      -0.715779        0.405395             0.725952         3.523307
017      0.4902      -0.852457        0.268661             0.886990         1.066059
017      0.4224      -0.658478        0.444909             0.565398         7.298529
017      0.4543      -0.773426        0.351552             0.791142         3.081801
017      0.5188      -0.890104        0.201859             0.924498         0.419675
017      0.5848      -0.948858        0.099261             0.968304         0.101089
017      0.3495      -0.446851        0.127868             0.196609         2.360324
017      0.3840      -0.513149        0.170904             0.305052         2.825178
017      0.4054      -0.586851        0.318133             0.403183         7.421381
017      0.4377      -0.719516        0.401451             0.673356         5.692938
017      1.0000      -0.998201        0.008562             0.999031         0.002802
017      0.3543      -0.454533        0.124791             0.156817         1.229488
017      0.4239      -0.677093        0.367778             0.588997         7.037651
017      0.4072      -0.588858        0.325312             0.402768         7.198393
017      0.3865      -0.522907        0.179732             0.296678         4.448784
017      0.4392      -0.736609        0.334056             0.745467         2.895152
018      0.4559      -0.794630        0.268830             0.827654         1.218548
018      0.4925      -0.858642        0.206891             0.899568         0.462234
018      0.4255      -0.654938        0.349230             0.570123         6.081725
018      0.4724      -0.825185        0.226623             0.863580         0.673386
018      0.0000      -0.024691        0.000000             0.086420         0.000000
018      0.4949      -0.864074        0.233909             0.902778         0.542542
018      0.3888      -0.518148        0.245032             0.289444         5.009491
018      0.4271      -0.661914        0.340018             0.568827         7.989513
018      0.2719      -0.308272        0.042668             0.094691         0.450660
018      0.5228      -0.900679        0.174961             0.936296         0.217716
018      0.3586      -0.459938        0.127840             0.218457         2.185091
018      0.4090      -0.603025        0.327015             0.473272         7.063366
018      0.4742      -0.828025        0.225443             0.870988         0.592217
018      0.4407      -0.710741        0.381436             0.663457         6.352669
018      0.5271      -0.908889        0.146412             0.941728         0.185790
018      0.4974      -0.880123        0.191349             0.920864         0.299385
018      0.4760      -0.820309        0.494275             0.835802         4.649335
018      0.4574      -0.781852        0.305037             0.806728         1.837428
018      0.3626      -0.482160        0.171907             0.224753         2.823978
018      0.4286      -0.680556        0.426713             0.605370         6.922633
018      0.3911      -0.531543        0.182990             0.320617         4.235672
018      0.2965      -0.354815        0.063634             0.133333         0.899267
018      0.3662      -0.468333        0.154075             0.216111         2.198032
018      0.4422      -0.739630        0.383611             0.741790         3.658129
018      0.5318      -0.909691        0.151019             0.941358         0.232464
018      0.4301      -0.695432        0.361420             0.666358         4.837935
018      0.4107      -0.595617        0.307448             0.419877         6.532437
018      0.5000      -0.873889        0.143285             0.913025         0.265118
018      0.3933      -0.554321        0.258313             0.365123         5.424972
018      0.4779      -0.839074        0.292738             0.876049         0.949440
018      0.4590      -0.783333        0.314572             0.813889         1.681522
018      0.5372      -0.916173        0.117618             0.947654         0.145969
018      0.3955      -0.548765        0.237514             0.348086         5.423111
018      0.4317      -0.705741        0.440795             0.674444         5.177959
018      0.4437      -0.747593        0.255348             0.759321         2.269867
018      0.3115      -0.369815        0.089850             0.113765         0.893458
018      0.4606      -0.803642        0.233913             0.845370         0.845660
018      0.5027      -0.873395        0.253066             0.911543         0.533216
018      0.4798      -0.837222        0.233104             0.874012         0.832556
018      0.4125      -0.595000        0.338963             0.424815         6.854582
018      0.3696      -0.481543        0.180872             0.246975         3.060835
018      0.5433      -0.923025        0.121794             0.951481         0.155421
018      0.3976      -0.549877        0.339840             0.361111         5.524556
018      0.3224      -0.390864        0.102706             0.153272         1.198897
018      0.4818      -0.837160        0.265710             0.869815         0.863848
018      0.4332      -0.694444        0.347181             0.659753         5.450203
018      0.4622      -0.791111        0.295822             0.831914         1.047307
018      0.5504      -0.926852        0.136254             0.955679         0.136777
018      0.4142      -0.609383        0.353375             0.451790         7.214548
018      0.4452      -0.729938        0.397334             0.713889         5.155706
018      0.3728      -0.490247        0.180427             0.239198         2.921546
