Student_NIP;Detection_shape;Questions_asked;Distance;Professors_left;Simulation_duration;Current_stress
926216;CONE;6;57489.89;4;445;100.00%
926266;CIRCLE;2;13203.60;8;100;100.00%
926266;CONE;4;30099.66;6;229;100.00%
926271;CIRCLE;1;12970.61;9;100;100.00%
926271;CONE;1;15166.19;9;123;99.99%
926354;CIRCLE;0;1287.97;10;55;100.00%
926354;CONE;3;26988.21;7;202;100.00%
926636;CIRCLE;1;11049.33;9;100;100.00%
926636;CONE;3;26259.23;7;203;100.00%
926639;CIRCLE;2;11353.84;8;100;100.00%
926639;CONE;0;15310.74;10;114;99.99%
926748;CIRCLE;2;8530.89;8;100;100.00%
926748;CONE;3;20724.86;7;158;100.00%
927171;CIRCLE;2;12649.27;8;100;100.00%
927171;CONE;1;17248.22;9;127;99.99%
927903;CIRCLE;2;11386.33;8;100;100.00%
927903;CONE;1;18616.17;9;139;100.00%
928139;CIRCLE;2;13036.43;8;100;100.00%
928139;CONE;1;16677.82;9;127;99.99%
928167;CIRCLE;1;11515.59;9;100;100.00%
928167;CONE;0;15425.65;10;115;99.99%
928287;CIRCLE;0;12231.59;10;100;100.00%
928287;CONE;0;15900.07;10;119;100.00%
928540;CIRCLE;2;12181.81;8;100;100.00%
928540;CONE;3;35033.45;7;271;100.00%
928855;CIRCLE;1;11205.52;9;100;100.00%
928855;CONE;2;26407.06;8;206;99.99%
929079;CIRCLE;4;11337.67;6;100;100.00%
929079;CONE;1;18731.59;9;138;99.99%
929089;CIRCLE;1;11779.01;9;100;100.00%
929089;CONE;4;49947.46;6;381;100.00%
929153;CIRCLE;2;10973.72;8;100;100.00%
929153;CONE;3;25801.54;7;195;100.00%
929431;CIRCLE;2;13042.07;8;100;100.00%
929431;CONE;6;54679.63;4;428;100.00%
929433;CIRCLE;1;12968.51;9;100;100.00%
929433;CONE;2;18019.33;8;135;100.00%
929464;CIRCLE;3;6914.87;7;100;100.00%
929464;CONE;1;23389.37;9;178;100.00%
929599;CIRCLE;1;2605.37;9;62;100.00%
929599;CONE;6;59295.71;4;469;99.99%
929674;CIRCLE;1;10068.01;9;100;100.00%
929674;CONE;3;38758.79;7;301;100.00%
929718;CIRCLE;1;7587.41;9;100;100.00%
929718;CONE;0;16265.48;10;122;100.00%
929902;CIRCLE;3;11182.25;7;100;100.00%
929902;CONE;3;19971.28;7;145;100.00%
930078;CIRCLE;2;5323.77;8;100;100.00%
930078;CONE;4;41600.23;6;319;100.00%
930261;CIRCLE;1;13243.38;9;100;100.00%
930261;CONE;2;23312.77;8;175;99.99%
930278;CIRCLE;1;12368.12;9;100;100.00%
930278;CONE;3;24812.70;7;189;100.00%
930545;CIRCLE;3;13477.33;7;100;100.00%
930545;CONE;4;43300.64;6;326;100.00%
930653;CIRCLE;2;4582.08;8;72;100.00%
930653;CONE;1;16940.86;9;125;99.99%
930701;CIRCLE;0;7684.10;10;83;100.00%
930701;CONE;2;28475.68;8;219;99.99%
930702;CIRCLE;2;6762.48;8;100;100.00%
930702;CONE;3;22028.37;7;171;100.00%
930852;CIRCLE;4;11690.15;6;100;100.00%
930852;CONE;7;54164.24;3;422;100.00%
931066;CIRCLE;3;11929.24;7;100;100.00%
931066;CONE;6;50350.86;4;397;99.99%
931258;CIRCLE;3;9019.37;7;100;100.00%
931258;CONE;2;18184.37;8;137;99.99%
